minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,1.400000,63.000000,128.008732,128.008732,134.396232,134.396232,135.993107,135.993107,135.993107,135.993107,135.993107,135.993107,135.993107,135.993107,128.008732,134.396232,135.993107,135.993107,135.993107,135.993107,1.386615
2,0,0,0,67.500000,0.000000,0.000000,2.800000,63.000000,114.566640,114.566640,129.083689,129.083689,135.567365,135.567365,135.986545,135.986545,135.986545,135.986545,135.986545,135.986545,114.566640,129.083689,135.567365,135.986545,135.986545,135.986545,1.652085
3,0,0,0,67.500000,0.000000,0.000000,2.800000,63.000000,105.064591,105.064591,121.226302,121.226302,133.859167,133.859167,135.870277,135.870277,135.980311,135.980311,135.980311,135.980311,105.064591,121.226302,133.859167,135.870277,135.980311,135.980311,1.952031
4,0,0,0,67.500000,0.000000,0.000000,2.800000,63.000000,97.843602,97.843602,113.151080,113.151080,130.537136,130.537136,135.336457,135.336457,135.945524,135.945524,135.974408,135.974408,97.843602,113.151080,130.537136,135.336457,135.945524,135.974408,2.259531
5,0,0,0,67.500000,0.000000,0.000000,2.800000,63.000000,92.097534,92.097534,105.721341,105.721341,125.967722,125.967722,134.071061,134.071061,135.780070,135.780070,135.961252,135.961252,92.097534,105.721341,125.967722,134.071061,135.780070,135.961252,2.556851
6,0,0,0,67.500000,0.000000,0.000000,2.800000,63.000000,87.401797,87.401797,99.192237,99.192237,120.647803,120.647803,131.938690,131.938690,135.326210,135.326210,135.908447,135.908447,87.401797,99.192237,120.647803,131.938690,135.326210,135.908447,2.833837
7,1,0,0,67.500000,0.011252,0.000000,2.800000,63.000000,84.837583,84.837583,93.577535,93.577535,115.010801,115.010801,128.969917,128.969917,134.432071,134.432071,135.750694,135.750694,84.837583,93.577535,115.010801,128.969917,134.432071,135.750694,3.085570
8,1,0,0,67.500000,0.010924,0.000000,2.800000,63.000000,82.486684,82.486684,89.263420,89.263420,109.379959,109.379959,125.301039,125.301039,132.993645,132.993645,135.399946,135.399946,82.486684,89.263420,109.379959,125.301039,132.993645,135.399946,3.272436
9,1,0,0,67.500000,0.010661,0.000000,2.800000,63.000000,80.406665,80.406665,85.843887,85.843887,104.095061,104.095061,121.117449,121.117449,130.970030,130.970030,134.763985,134.763985,80.406665,85.843887,104.095061,121.117449,130.970030,134.763985,3.432478
10,1,0,0,67.500000,0.010447,0.000000,2.800000,63.000000,78.594921,78.594921,83.081138,83.081138,99.300121,99.300121,116.645065,116.645065,128.379720,128.379720,133.764065,133.764065,78.594921,83.081138,99.300121,116.645065,128.379720,133.764065,3.569629
11,1,0,0,67.500000,0.010272,0.000000,2.800000,63.000000,77.042884,77.042884,80.806842,80.806842,95.038926,95.038926,112.088305,112.088305,125.295661,125.295661,132.346962,132.346962,77.042884,80.806842,95.038926,112.088305,125.295661,132.346962,3.687158
12,1,0,0,67.500000,0.010128,0.000000,2.800000,63.000000,75.731739,75.731739,78.907909,78.907909,91.299581,91.299581,107.609419,107.609419,121.825306,121.825306,130.492572,130.492572,75.731739,78.907909,91.299581,107.609419,121.825306,130.492572,3.787734
13,1,0,0,67.500000,0.010009,0.000000,2.800000,63.000000,74.632625,74.632625,77.311596,77.311596,88.043635,88.043635,103.324942,103.324942,118.090491,118.090491,128.214270,128.214270,74.632625,77.311596,88.043635,103.324942,118.090491,128.214270,3.873575
14,1,0,0,67.500000,0.009910,0.000000,2.800000,63.000000,73.714222,73.714222,75.967158,75.967158,85.223680,85.223680,99.310723,99.310723,114.211658,114.211658,125.553902,125.553902,73.714222,75.967158,85.223680,99.310723,114.211658,125.553902,3.946618
15,1,0,0,67.500000,0.009828,0.000000,2.800000,63.000000,72.947405,72.947405,74.835160,74.835160,82.791659,82.791659,95.610254,95.610254,110.297543,110.297543,122.573943,122.573943,72.947405,74.835160,82.791659,95.610254,110.297543,122.573943,4.008592
16,1,0,0,67.500000,0.009760,0.000000,2.800000,63.000000,72.306564,72.306564,73.882557,73.882557,80.702567,80.702567,92.242997,92.242997,106.439753,106.439753,119.349012,119.349012,72.306564,73.882557,80.702567,92.242997,106.439753,119.349012,4.061048
17,0,1,0,67.500000,0.000000,0.083333,1.400000,63.000000,71.514574,71.514574,73.241661,73.241661,79.805165,79.805165,90.726040,90.726040,107.769721,107.769721,117.652396,117.652396,71.514574,73.241661,79.805165,90.726040,107.769721,117.652396,4.058247
18,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.512244,71.512244,73.239331,73.239331,79.802835,79.802835,90.723709,90.723709,110.962959,110.962959,117.650066,117.650066,71.512244,73.239331,79.802835,90.723709,110.962959,117.650066,4.058400
19,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.509859,71.509859,73.236946,73.236946,79.800450,79.800450,90.721325,90.721325,114.156142,114.156142,117.647681,117.647681,71.509859,73.236946,79.800450,90.721325,114.156142,117.647681,4.058557
20,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.507419,71.507419,73.234506,73.234506,79.798011,79.798011,90.718885,90.718885,117.349270,117.349270,117.645242,117.645242,71.507419,73.234506,79.798011,90.718885,117.349270,117.645242,4.058717
21,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.504925,71.504925,73.232012,73.232012,79.795517,79.795517,90.716391,90.716391,119.092545,119.092545,119.092545,119.092545,71.504925,73.232012,79.795517,90.716391,119.092545,119.092545,4.058881
22,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.502377,71.502377,73.229464,73.229464,79.792968,79.792968,90.713842,90.713842,120.687781,120.687781,120.687781,120.687781,71.502377,73.229464,79.792968,90.713842,120.687781,120.687781,4.059049
23,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.499773,71.499773,73.226860,73.226860,79.790365,79.790365,90.711239,90.711239,122.282961,122.282961,122.282961,122.282961,71.499773,73.226860,79.790365,90.711239,122.282961,122.282961,4.059220
24,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.497116,71.497116,73.224203,73.224203,79.787707,79.787707,90.708581,90.708581,123.878087,123.878087,123.878087,123.878087,71.497116,73.224203,79.787707,90.708581,123.878087,123.878087,4.059395
25,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.494403,71.494403,73.221490,73.221490,79.784994,79.784994,90.705869,90.705869,125.473159,125.473159,125.473159,125.473159,71.494403,73.221490,79.784994,90.705869,125.473159,125.473159,4.059573
26,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.491636,71.491636,73.218723,73.218723,79.782227,79.782227,90.703102,90.703102,127.068175,127.068175,127.068175,127.068175,71.491636,73.218723,79.782227,90.703102,127.068175,127.068175,4.059756
27,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.488814,71.488814,73.215901,73.215901,79.779406,79.779406,90.700280,90.700280,128.663138,128.663138,128.663138,128.663138,71.488814,73.215901,79.779406,90.700280,128.663138,128.663138,4.059941
28,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.485938,71.485938,73.213025,73.213025,79.776530,79.776530,90.697404,90.697404,130.258045,130.258045,130.258045,130.258045,71.485938,73.213025,79.776530,90.697404,130.258045,130.258045,4.060130
29,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.483007,71.483007,73.210094,73.210094,79.773599,79.773599,90.694473,90.694473,131.852898,131.852898,131.852898,131.852898,71.483007,73.210094,79.773599,90.694473,131.852898,131.852898,4.060323
30,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.480022,71.480022,73.207109,73.207109,79.770613,79.770613,90.691488,90.691488,133.447697,133.447697,133.447697,133.447697,71.480022,73.207109,79.770613,90.691488,133.447697,133.447697,4.060520
31,0,1,0,67.500000,0.000000,0.083333,0.000000,63.000000,71.476982,71.476982,73.204069,73.204069,79.767573,79.767573,90.688448,90.688448,135.042441,135.042441,135.042441,135.042441,71.476982,73.204069,79.767573,90.688448,135.042441,135.042441,4.060720
32,1,0,0,67.500000,0.003892,0.050103,0.000000,63.000000,71.990171,71.990171,73.287859,73.287859,79.767378,79.767378,90.685353,90.685353,136.000000,136.000000,136.000000,136.000000,71.990171,73.287859,79.767378,90.685353,136.000000,136.000000,4.060923
33,1,0,0,67.500000,0.009785,0.000000,0.000000,63.000000,73.274407,73.274407,73.502117,73.502117,79.775939,79.775939,90.682216,90.682216,135.996862,135.996862,135.996862,135.996862,73.274407,73.502117,79.775939,90.682216,135.996862,135.996862,4.041317
34,1,0,0,67.500000,0.009849,0.000000,0.000000,63.000000,74.121817,74.121817,74.121817,74.121817,79.807223,79.807223,90.679053,90.679053,135.993699,135.993699,135.993699,135.993699,74.121817,74.121817,79.807223,90.679053,135.993699,135.993699,3.992370
35,1,0,0,67.500000,0.009912,0.000000,0.000000,63.000000,74.838488,74.838488,74.838488,74.838488,79.863781,79.863781,90.675866,90.675866,135.990510,135.990510,135.990510,135.990510,74.838488,74.838488,79.863781,90.675866,135.990510,135.990510,3.944824
36,1,0,0,67.500000,0.009975,0.000000,0.000000,63.000000,75.539344,75.539344,75.539344,75.539344,79.943653,79.943653,90.672654,90.672654,135.987296,135.987296,135.987296,135.987296,75.539344,75.539344,79.943653,90.672654,135.987296,135.987296,3.898732
