minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,2.350000,58.000000,120.448465,120.448465,131.684403,131.684403,134.493387,134.493387,134.493387,134.493387,134.493387,134.493387,134.493387,134.493387,120.448465,131.684403,134.493387,134.493387,134.493387,134.493387,1.524479
2,0,0,0,67.500000,0.000000,0.000000,3.000000,58.000000,107.151835,107.151835,124.244809,124.244809,133.697117,133.697117,134.487144,134.487144,134.487144,134.487144,134.487144,134.487144,107.151835,124.244809,133.697117,134.487144,134.487144,134.487144,1.858400
3,0,0,0,67.500000,0.000000,0.000000,3.000000,58.000000,97.673596,97.673596,115.079949,115.079949,131.032782,131.032782,134.259076,134.259076,134.481271,134.481271,134.481271,134.481271,97.673596,115.079949,131.032782,134.259076,134.481271,134.481271,2.222113
4,0,0,0,67.500000,0.000000,0.000000,2.350000,58.000000,92.646108,92.646108,107.520844,107.520844,127.512590,127.512590,133.542700,133.542700,134.426735,134.426735,134.475688,134.475688,92.646108,107.520844,127.512590,133.542700,134.426735,134.475688,2.501667
5,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.640526,92.640526,107.515262,107.515262,127.507008,127.507008,133.537117,133.537117,134.421153,134.421153,134.470105,134.470105,92.640526,107.515262,127.507008,133.537117,134.421153,134.470105,2.501927
6,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.634944,92.634944,107.509680,107.509680,127.501426,127.501426,133.531535,133.531535,134.415571,134.415571,134.464523,134.464523,92.634944,107.509680,127.501426,133.531535,134.415571,134.464523,2.502187
7,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.629362,92.629362,107.504099,107.504099,127.495845,127.495845,133.525954,133.525954,134.409990,134.409990,134.458942,134.458942,92.629362,107.504099,127.495845,133.525954,134.409990,134.458942,2.502447
8,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.623781,92.623781,107.498518,107.498518,127.490264,127.490264,133.520373,133.520373,134.404409,134.404409,134.453361,134.453361,92.623781,107.498518,127.490264,133.520373,134.404409,134.453361,2.502707
9,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.618201,92.618201,107.492938,107.492938,127.484684,127.484684,133.514793,133.514793,134.398829,134.398829,134.447781,134.447781,92.618201,107.492938,127.484684,133.514793,134.398829,134.447781,2.502967
10,0,0,0,67.500000,0.000000,0.000000,0.000000,58.000000,92.612622,92.612622,107.487358,107.487358,127.479104,127.479104,133.509213,133.509213,134.393249,134.393249,134.442201,134.442201,92.612622,107.487358,127.479104,133.509213,134.393249,134.442201,2.503227
