minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,114.304994,114.304994,122.854994,122.854994,124.992494,124.992494,124.992494,124.992494,124.992494,124.992494,124.992494,124.992494,114.304994,122.854994,124.992494,124.992494,124.992494,124.992494,1.519077
2,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,106.298725,106.298725,118.383661,118.383661,124.624505,124.624505,124.985208,124.985208,124.985208,124.985208,124.985208,124.985208,106.298725,118.383661,124.624505,124.985208,124.985208,124.985208,1.707595
3,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,99.908294,99.908294,113.051470,113.051470,123.564298,123.564298,124.917275,124.917275,124.978143,124.978143,124.978143,124.978143,99.908294,113.051470,123.564298,124.917275,124.978143,124.978143,1.901870
4,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,94.563349,94.563349,107.574042,107.574042,121.783414,121.783414,124.682116,124.682116,124.961028,124.961028,124.971300,124.971300,94.563349,107.574042,121.783414,124.682116,124.961028,124.971300,2.095987
5,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,89.951903,89.951903,102.287872,102.287872,119.378960,119.378960,124.186337,124.186337,124.907339,124.907339,124.962944,124.962944,89.951903,102.287872,119.378960,124.186337,124.907339,124.962944,2.285924
6,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,85.895685,85.895685,97.338957,97.338957,116.488437,116.488437,123.368690,123.368690,124.779268,124.779268,124.947158,124.947158,85.895685,97.338957,116.488437,123.368690,124.779268,124.947158,2.469032
7,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,82.286418,82.286418,92.778663,92.778663,113.250781,113.250781,122.201466,122.201466,124.535051,124.535051,124.912645,124.912645,82.286418,92.778663,113.250781,122.201466,124.535051,124.912645,2.643639
8,0,0,0,50.000000,0.000000,0.000000,1.800000,49.000000,79.053168,79.053168,88.612342,88.612342,109.790150,109.790150,120.685077,120.685077,124.135298,124.135298,124.842966,124.842966,79.053168,88.612342,109.790150,120.685077,124.135298,124.842966,2.808759
9,0,0,0,50.000000,0.000000,0.000000,0.000000,49.000000,79.047208,79.047208,88.606382,88.606382,109.784190,109.784190,120.679117,120.679117,124.129338,124.129338,124.837005,124.837005,79.047208,88.606382,109.784190,120.679117,124.129338,124.837005,2.809030
10,0,0,0,50.000000,0.000000,0.000000,0.000000,49.000000,79.041248,79.041248,88.600422,88.600422,109.778230,109.778230,120.673158,120.673158,124.123378,124.123378,124.831046,124.831046,79.041248,88.600422,109.778230,120.673158,124.123378,124.831046,2.809302
11,0,0,0,50.000000,0.000000,0.000000,0.000000,49.000000,79.035289,79.035289,88.594464,88.594464,109.772271,109.772271,120.667199,120.667199,124.117419,124.117419,124.825087,124.825087,79.035289,88.594464,109.772271,120.667199,124.117419,124.825087,2.809573
