minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,0.700000,58.000000,116.471584,124.933806,124.933806,124.933806,125.991584,125.991584,125.991584,125.991584,125.991584,125.991584,125.991584,125.991584,120.702695,124.933806,125.991584,125.991584,125.991584,125.991584,2.679622
2,0,0,0,67.500000,0.000000,0.000000,1.700000,58.000000,98.379078,119.134500,121.691971,121.691971,125.504019,125.983545,125.983545,125.983545,125.983545,125.983545,125.983545,125.983545,108.756789,121.691971,125.743782,125.983545,125.983545,125.983545,2.945710
3,0,0,0,67.500000,0.000000,0.000000,1.700000,58.000000,89.376921,109.144574,116.349380,117.122305,123.768229,125.758498,125.975883,125.975883,125.975883,125.975883,125.975883,125.975883,99.260748,116.735843,124.763364,125.975883,125.975883,125.975883,3.265580
4,0,0,0,67.500000,0.000000,0.000000,1.700000,58.000000,83.860450,100.547464,109.147439,111.606580,120.748126,124.848959,125.870051,125.968599,125.968599,125.968599,125.968599,125.968599,92.203957,110.377010,122.798542,125.919325,125.968599,125.968599,3.620696
5,0,0,0,67.500000,0.000000,0.000000,1.700000,58.000000,79.822814,93.719906,101.897306,105.392630,116.597052,122.983008,125.400249,125.917017,125.961692,125.961692,125.961692,125.961692,86.771360,103.644968,119.790030,125.658633,125.961692,125.961692,3.991130
6,0,0,0,67.500000,0.000000,0.000000,1.700000,58.000000,76.559007,88.219064,95.399282,99.144526,111.511184,120.081512,124.297904,125.676220,125.934910,125.955163,125.955163,125.955163,82.389036,97.271904,115.796348,124.987062,125.945037,125.955163,4.357017
7,1,0,0,67.500000,0.005790,0.000000,1.700000,58.000000,76.765409,83.690338,89.812523,93.347444,105.898813,116.190144,122.380320,125.045231,125.811485,125.939829,125.949010,125.949010,80.227873,91.579984,111.044479,123.712775,125.875657,125.949010,4.703904
8,1,0,0,67.500000,0.005620,0.000000,1.700000,58.000000,75.741504,81.092786,85.319467,88.456830,100.203048,111.518929,119.568295,123.831326,125.458304,125.875835,125.939037,125.943199,78.417145,86.888149,105.860988,121.699811,125.667070,125.941118,4.962938
9,1,0,0,67.500000,0.005480,0.000000,1.700000,58.000000,74.391840,79.064417,82.006838,84.418682,94.872624,106.383591,115.913777,121.893280,124.715269,125.681082,125.904913,125.935840,76.728128,83.212760,100.628107,118.903529,125.198176,125.920377,5.186624
10,1,0,0,67.500000,0.005456,0.000000,0.700000,58.000000,75.611625,79.378147,80.781210,82.267861,92.915868,104.229523,114.129455,120.771752,124.183144,125.495443,125.857777,125.924713,77.494886,81.524535,98.572696,117.450604,124.839293,125.891245,5.225955
11,1,0,0,67.500000,0.005496,0.000000,0.000000,58.000000,76.966105,80.353730,81.338152,82.452901,92.910481,104.224132,114.124064,120.766361,124.177752,125.490052,125.852386,125.919322,78.659917,81.895526,98.567306,117.445212,124.833902,125.885854,5.160540
12,1,0,0,67.500000,0.005536,0.000000,0.000000,58.000000,78.092166,81.232420,82.009237,82.832561,92.905066,104.218703,114.118636,120.760933,124.172324,125.484624,125.846958,125.913893,79.662293,82.420899,98.561885,117.439784,124.828474,125.880425,5.096211
13,1,0,0,67.500000,0.005576,0.000000,0.000000,58.000000,79.101305,82.052848,82.704454,83.346687,92.899640,104.213238,114.113170,120.755468,124.166859,125.479158,125.841493,125.908428,80.577077,83.025571,98.556439,117.434319,124.823009,125.874960,5.032956
