minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,2.350000,58.000000,98.800699,130.969588,130.969588,130.969588,134.990699,134.990699,134.990699,134.990699,134.990699,134.990699,134.990699,134.990699,114.885143,130.969588,134.990699,134.990699,134.990699,134.990699,2.676322
2,0,0,0,67.500000,0.000000,0.000000,3.000000,58.000000,80.209362,106.258920,123.415660,123.415660,131.765263,134.982151,134.982151,134.982151,134.982151,134.982151,134.982151,134.982151,93.234141,123.415660,133.373707,134.982151,134.982151,134.982151,3.249719
3,1,0,0,67.500000,0.006313,0.000000,3.000000,58.000000,76.114416,88.685713,104.866307,114.016569,125.077787,132.400846,134.974357,134.974357,134.974357,134.974357,134.974357,134.974357,82.400064,109.441438,128.739316,134.974357,134.974357,134.974357,3.989460
4,1,0,0,67.500000,0.005892,0.000000,2.350000,58.000000,75.134824,82.920993,92.192015,101.229306,118.138852,127.804491,133.354386,134.967119,134.967119,134.967119,134.967119,134.967119,79.027908,96.710661,122.971672,134.160753,134.967119,134.967119,4.553765
5,1,0,0,67.500000,0.005930,0.000000,0.000000,58.000000,77.897339,83.054603,92.184755,101.222034,118.131580,127.797219,133.347113,134.959847,134.959847,134.959847,134.959847,134.959847,80.475971,96.703394,122.964399,134.153480,134.959847,134.959847,4.499949
6,1,0,0,67.500000,0.005967,0.000000,0.000000,58.000000,79.925569,83.906252,92.177590,101.214727,118.124273,127.789912,133.339806,134.952540,134.952540,134.952540,134.952540,134.952540,81.915911,96.696158,122.957092,134.146173,134.952540,134.952540,4.447082
7,1,0,0,67.500000,0.006005,0.000000,0.000000,58.000000,81.624733,85.070132,92.171195,101.207386,118.116932,127.782570,133.332465,134.945199,134.945199,134.945199,134.945199,134.945199,83.347433,96.689290,122.949751,134.138832,134.945199,134.945199,4.395154
8,1,0,0,67.500000,0.006042,0.000000,0.000000,58.000000,83.225096,86.312768,92.168867,101.200011,118.109556,127.775195,133.325090,134.937824,134.937824,134.937824,134.937824,134.937824,84.768932,96.684439,122.942376,134.131457,134.937824,134.937824,4.344150
9,1,0,0,67.500000,0.006078,0.000000,0.000000,58.000000,84.764408,87.581170,92.185942,101.192604,118.102147,127.767786,133.317681,134.930414,134.930414,134.930414,134.930414,134.930414,86.172789,96.689273,122.934967,134.124048,134.930414,134.930414,4.294060
10,1,0,0,67.500000,0.006115,0.000000,0.000000,58.000000,86.228527,88.830536,92.281462,101.185172,118.094705,127.760343,133.310238,134.922972,134.922972,134.922972,134.922972,134.922972,87.529532,96.733317,122.927524,134.116605,134.922972,134.922972,4.244871
11,1,0,0,67.500000,0.006151,0.000000,0.000000,58.000000,87.560783,89.993480,92.579567,101.177740,118.087228,127.752867,133.302762,134.915495,134.915495,134.915495,134.915495,134.915495,88.777132,96.878654,122.920048,134.109128,134.915495,134.915495,4.196569
12,1,0,0,67.500000,0.006188,0.000000,0.000000,58.000000,88.753548,91.050670,93.107256,101.170386,118.079719,127.745357,133.295252,134.907986,134.907986,134.907986,134.907986,134.907986,89.902109,97.138821,122.912538,134.101619,134.907986,134.907986,4.149145
