minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,96.709732,120.069732,120.069732,120.069732,122.989732,122.989732,122.989732,122.989732,122.989732,122.989732,122.989732,122.989732,108.389732,120.069732,122.989732,122.989732,122.989732,122.989732,2.396741
2,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,84.789989,107.835237,115.310437,115.310437,121.578293,122.979893,122.979893,122.979893,122.979893,122.979893,122.979893,122.979893,96.312613,115.310437,122.279093,122.979893,122.979893,122.979893,2.788266
3,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,78.042544,97.164360,107.130242,109.522306,118.560312,122.297715,122.970483,122.970483,122.970483,122.970483,122.970483,122.970483,87.603452,108.326274,120.429014,122.970483,122.970483,122.970483,3.248035
4,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,73.319830,88.922340,98.496160,102.514491,114.213089,120.494781,122.638574,122.961503,122.961503,122.961503,122.961503,122.961503,81.121085,100.505326,117.353935,122.800038,122.961503,122.961503,3.746776
5,1,0,0,50.000000,0.005361,0.000000,1.800000,50.000000,72.063756,82.451418,90.762422,95.219066,108.589210,117.471017,121.601002,122.797945,122.952951,122.952951,122.952951,122.952951,77.257587,92.990744,113.030114,122.199473,122.952951,122.952951,4.249960
6,1,0,0,50.000000,0.005157,0.000000,1.800000,50.000000,70.161315,78.208754,84.406579,88.611057,102.163387,113.199596,119.610456,122.215259,122.870395,122.944798,122.944798,122.944798,74.185035,86.508818,107.681492,120.912857,122.907596,122.944798,4.673544
7,1,0,0,50.000000,0.004988,0.000000,1.800000,50.000000,68.267658,74.826629,79.518123,82.958723,95.650512,107.894459,116.525487,120.957197,122.548173,122.901328,122.937041,122.937041,71.547144,81.238423,101.772486,118.741342,122.724750,122.937041,5.050184
8,1,0,0,50.000000,0.004850,0.000000,1.800000,50.000000,66.545945,72.024855,75.651703,78.343524,89.551092,102.010003,112.375232,118.822614,121.777143,122.724452,122.912537,122.929679,69.285400,76.997613,95.780547,115.598923,122.250797,122.921108,5.377518
9,1,0,0,50.000000,0.004879,0.000000,0.000000,50.000000,68.611418,72.738235,75.672681,78.337969,89.543696,102.002608,112.367837,118.815219,121.769747,122.717056,122.905142,122.922284,70.674827,77.005325,95.773152,115.591528,122.243402,122.913713,5.305845
10,1,0,0,50.000000,0.004909,0.000000,0.000000,50.000000,70.194528,73.774651,75.822593,78.342085,89.536268,101.995179,112.360408,118.807790,121.762319,122.709628,122.897713,122.914855,71.984590,77.082339,95.765724,115.584099,122.235973,122.906284,5.235430
