minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,126.988718,2.004087
2,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,126.977437,2.004327
3,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,126.966159,2.004568
4,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,126.954882,2.004809
5,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,126.943606,2.005049
6,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,126.932332,2.005290
7,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,126.921060,2.005531
8,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,126.909789,2.005773
9,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,126.898521,2.006014
10,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,126.887253,2.006255
