minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,1.400000,58.000000,123.011816,123.011816,132.594038,132.594038,134.989594,134.989594,134.989594,134.989594,134.989594,134.989594,134.989594,134.989594,123.011816,132.594038,134.989594,134.989594,134.989594,134.989594,2.912180
2,0,0,0,67.500000,0.000000,0.000000,2.800000,58.000000,103.777089,103.777089,123.961047,123.961047,134.085614,134.085614,134.979955,134.979955,134.979955,134.979955,134.979955,134.979955,103.777089,123.961047,134.085614,134.979955,134.979955,134.979955,3.143377
3,1,0,0,67.500000,0.007908,0.000000,2.800000,58.000000,92.781838,92.781838,111.660683,111.660683,130.393202,130.393202,134.637196,134.637196,134.971083,134.971083,134.971083,134.971083,92.781838,111.660683,130.393202,134.637196,134.971083,134.971083,3.347824
4,1,0,0,67.500000,0.007655,0.000000,2.800000,58.000000,84.946275,84.946275,100.811507,100.811507,123.489157,123.489157,133.044628,133.044628,134.838288,134.838288,134.962940,134.962940,84.946275,100.811507,123.489157,133.044628,134.838288,134.962940,3.502980
5,1,0,0,67.500000,0.007461,0.000000,2.800000,58.000000,79.106963,79.106963,92.029277,92.029277,115.114018,115.114018,129.469837,129.469837,134.161240,134.161240,134.908988,134.908988,79.106963,92.029277,115.114018,129.469837,134.161240,134.908988,3.624379
6,1,0,0,67.500000,0.007314,0.000000,2.800000,58.000000,74.701481,74.701481,85.100116,85.100116,106.589278,106.589278,124.103644,124.103644,132.403094,132.403094,134.623140,134.623140,74.701481,85.100116,106.589278,124.103644,132.403094,134.623140,3.718470
7,1,0,0,67.500000,0.007202,0.000000,2.800000,58.000000,71.360250,71.360250,79.694754,79.694754,98.667000,98.667000,117.558989,117.558989,129.298668,129.298668,133.788358,133.788358,71.360250,79.694754,98.667000,117.558989,129.298668,133.788358,3.791031
8,1,0,0,67.500000,0.007117,0.000000,2.800000,58.000000,68.808048,68.808048,75.500070,75.500070,91.708813,91.708813,110.500770,110.500770,124.910604,124.910604,132.106957,132.106957,68.808048,75.500070,91.708813,110.500770,124.910604,132.106957,3.846841
9,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,66.139937,66.139937,71.625718,71.625718,85.652997,85.652997,103.480554,103.480554,123.616708,123.616708,129.415766,129.415766,66.139937,71.625718,85.652997,103.480554,123.616708,129.415766,3.889812
10,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,64.176521,64.176521,68.494299,68.494299,80.412196,80.412196,96.820983,96.820983,120.185587,120.185587,127.246835,127.246835,64.176521,68.494299,80.412196,96.820983,120.185587,127.246835,3.932080
11,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,62.702535,62.702535,66.043674,66.043674,75.959478,75.959478,90.691666,90.691666,115.549759,115.549759,124.607266,124.607266,62.702535,66.043674,75.959478,90.691666,115.549759,124.607266,3.964639
12,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,61.585672,61.585672,64.151934,64.151934,72.254762,72.254762,85.188834,85.188834,110.356915,110.356915,121.222981,121.222981,61.585672,64.151934,72.254762,85.188834,110.356915,121.222981,3.989599
13,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,60.735866,60.735866,62.700428,62.700428,69.227411,69.227411,80.357819,80.357819,105.048863,105.048863,117.164021,117.164021,60.735866,62.700428,69.227411,80.357819,105.048863,117.164021,4.008692
14,0,1,0,67.500000,0.000000,0.075000,2.800000,58.000000,60.088080,60.088080,61.589757,61.589757,66.788855,66.788855,76.200651,76.200651,99.919384,99.919384,112.639213,112.639213,60.088080,61.589757,66.788855,76.200651,99.919384,112.639213,4.023280
15,0,1,0,67.500000,0.000000,0.075000,1.400000,58.000000,59.965176,59.965176,61.039268,61.039268,65.816705,65.816705,74.442130,74.442130,99.580562,99.580562,110.263193,110.263193,59.965176,61.039268,65.816705,74.442130,99.580562,110.263193,4.028867
16,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.963415,59.963415,61.037507,61.037507,65.814943,65.814943,74.440369,74.440369,103.669127,103.669127,110.261432,110.261432,59.963415,61.037507,65.814943,74.440369,103.669127,110.261432,4.028896
17,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.961545,59.961545,61.035637,61.035637,65.813074,65.813074,74.438499,74.438499,107.757584,107.757584,110.259562,110.259562,59.961545,61.035637,65.813074,74.438499,107.757584,110.259562,4.028927
18,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.959566,59.959566,61.033659,61.033659,65.811095,65.811095,74.436521,74.436521,111.051758,111.051758,111.051758,111.051758,59.959566,61.033659,65.811095,74.436521,111.051758,111.051758,4.028960
19,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.957479,59.957479,61.031572,61.031572,65.809008,65.809008,74.434434,74.434434,113.094834,113.094834,113.094834,113.094834,59.957479,61.031572,65.809008,74.434434,113.094834,113.094834,4.028995
20,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.955284,59.955284,61.029376,61.029376,65.806812,65.806812,74.432238,74.432238,115.137802,115.137802,115.137802,115.137802,59.955284,61.029376,65.806812,74.432238,115.137802,115.137802,4.029031
21,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.952979,59.952979,61.027072,61.027072,65.804508,65.804508,74.429934,74.429934,117.180661,117.180661,117.180661,117.180661,59.952979,61.027072,65.804508,74.429934,117.180661,117.180661,4.029069
22,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.950566,59.950566,61.024659,61.024659,65.802095,65.802095,74.427521,74.427521,119.223411,119.223411,119.223411,119.223411,59.950566,61.024659,65.802095,74.427521,119.223411,119.223411,4.029109
23,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.948045,59.948045,61.022137,61.022137,65.799574,65.799574,74.424999,74.424999,121.266053,121.266053,121.266053,121.266053,59.948045,61.022137,65.799574,74.424999,121.266053,121.266053,4.029151
24,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.945415,59.945415,61.019507,61.019507,65.796943,65.796943,74.422369,74.422369,123.308586,123.308586,123.308586,123.308586,59.945415,61.019507,65.796943,74.422369,123.308586,123.308586,4.029195
25,0,1,0,67.500000,0.000000,0.075000,0.000000,58.000000,59.942676,59.942676,61.016768,61.016768,65.794205,65.794205,74.419630,74.419630,125.351011,125.351011,125.351011,125.351011,59.942676,61.016768,65.794205,74.419630,125.351011,125.351011,4.029240
