minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,2.350000,50.000000,112.792679,112.792679,130.548234,130.548234,134.987123,134.987123,134.987123,134.987123,134.987123,134.987123,134.987123,134.987123,112.792679,130.548234,134.987123,134.987123,134.987123,134.987123,2.459898
2,1,0,0,50.000000,0.007245,0.000000,3.000000,50.000000,94.559589,94.559589,117.566270,117.566270,133.273047,133.273047,134.975154,134.975154,134.975154,134.975154,134.975154,134.975154,94.559589,117.566270,133.273047,134.975154,134.975154,134.975154,2.788053
3,1,0,0,50.000000,0.006860,0.000000,3.000000,50.000000,82.915371,82.915371,103.227748,103.227748,127.055392,127.055392,134.283220,134.283220,134.964063,134.964063,134.964063,134.964063,82.915371,103.227748,127.055392,134.283220,134.964063,134.964063,3.052877
4,1,0,0,50.000000,0.006631,0.000000,2.350000,50.000000,77.421759,77.421759,93.106690,93.106690,119.656453,119.656453,132.008090,132.008090,134.740321,134.740321,134.953652,134.953652,77.421759,93.106690,119.656453,132.008090,134.740321,134.953652,3.211981
5,1,0,0,50.000000,0.006647,0.000000,0.000000,50.000000,78.182637,78.182637,93.407968,93.407968,119.723405,119.723405,131.997650,131.997650,134.729881,134.729881,134.943212,134.943212,78.182637,93.407968,119.723405,131.997650,134.729881,134.943212,3.201159
6,1,0,0,50.000000,0.006662,0.000000,0.000000,50.000000,78.929396,78.929396,93.722149,93.722149,119.790252,119.790252,131.987181,131.987181,134.719412,134.719412,134.932743,134.932743,78.929396,93.722149,119.790252,131.987181,134.719412,134.932743,3.190350
7,1,0,0,50.000000,0.006678,0.000000,0.000000,50.000000,79.663294,79.663294,94.047960,94.047960,119.856996,119.856996,131.976682,131.976682,134.708914,134.708914,134.922244,134.922244,79.663294,94.047960,119.856996,131.976682,134.708914,134.922244,3.179553
8,1,0,0,50.000000,0.006693,0.000000,0.000000,50.000000,80.385501,80.385501,94.384216,94.384216,119.923636,119.923636,131.966155,131.966155,134.698386,134.698386,134.911717,134.911717,80.385501,94.384216,119.923636,131.966155,134.698386,134.911717,3.168768
9,1,0,0,50.000000,0.006709,0.000000,0.000000,50.000000,81.097081,81.097081,94.729835,94.729835,119.990174,119.990174,131.955599,131.955599,134.687830,134.687830,134.901160,134.901160,81.097081,94.729835,119.990174,131.955599,134.687830,134.901160,3.157996
10,1,0,0,50.000000,0.006724,0.000000,0.000000,50.000000,81.798996,81.798996,95.083842,95.083842,120.056612,120.056612,131.945013,131.945013,134.677244,134.677244,134.890574,134.890574,81.798996,95.083842,120.056612,131.945013,134.677244,134.890574,3.147237
11,1,0,0,50.000000,0.006739,0.000000,0.000000,50.000000,82.492103,82.492103,95.445362,95.445362,120.122952,120.122952,131.934398,131.934398,134.666629,134.666629,134.879960,134.879960,82.492103,95.445362,120.122952,131.934398,134.666629,134.879960,3.136491
12,1,0,0,50.000000,0.006755,0.000000,0.000000,50.000000,83.177161,83.177161,95.813618,95.813618,120.189197,120.189197,131.923755,131.923755,134.655985,134.655985,134.869316,134.869316,83.177161,95.813618,120.189197,131.923755,134.655985,134.869316,3.125758
13,1,0,0,50.000000,0.006770,0.000000,0.000000,50.000000,83.854846,83.854846,96.187917,96.187917,120.255349,120.255349,131.913083,131.913083,134.645312,134.645312,134.858643,134.858643,83.854846,96.187917,120.255349,131.913083,134.645312,134.858643,3.115039
14,1,0,0,50.000000,0.006786,0.000000,0.000000,50.000000,84.525754,84.525754,96.567644,96.567644,120.321415,120.321415,131.902381,131.902381,134.634611,134.634611,134.847941,134.847941,84.525754,96.567644,120.321415,131.902381,134.634611,134.847941,3.104333
15,1,0,0,50.000000,0.006801,0.000000,0.000000,50.000000,85.190411,85.190411,96.952255,96.952255,120.387398,120.387398,131.891651,131.891651,134.623880,134.623880,134.837211,134.837211,85.190411,96.952255,120.387398,131.891651,134.623880,134.837211,3.093640
16,1,0,0,50.000000,0.006816,0.000000,0.000000,50.000000,85.849282,85.849282,97.341262,97.341262,120.453306,120.453306,131.880893,131.880893,134.613120,134.613120,134.826451,134.826451,85.849282,97.341262,120.453306,131.880893,134.613120,134.826451,3.082962
17,1,0,0,50.000000,0.006832,0.000000,0.000000,50.000000,86.502778,86.502778,97.734233,97.734233,120.519147,120.519147,131.870105,131.870105,134.602332,134.602332,134.815663,134.815663,86.502778,97.734233,120.519147,131.870105,134.602332,134.815663,3.072298
18,1,0,0,50.000000,0.006847,0.000000,0.000000,50.000000,87.151262,87.151262,98.130780,98.130780,120.584931,120.584931,131.859290,131.859290,134.591515,134.591515,134.804846,134.804846,87.151262,98.130780,120.584931,131.859290,134.591515,134.804846,3.061648
19,1,0,0,50.000000,0.006862,0.000000,0.000000,50.000000,87.795055,87.795055,98.530557,98.530557,120.650670,120.650670,131.848445,131.848445,134.580669,134.580669,134.794000,134.794000,87.795055,98.530557,120.650670,131.848445,134.580669,134.794000,3.051013
20,1,0,0,50.000000,0.006878,0.000000,0.000000,50.000000,88.434442,88.434442,98.933250,98.933250,120.716378,120.716378,131.837573,131.837573,134.569795,134.569795,134.783126,134.783126,88.434442,98.933250,120.716378,131.837573,134.569795,134.783126,3.040392
21,1,0,0,50.000000,0.006893,0.000000,0.000000,50.000000,89.069673,89.069673,99.338578,99.338578,120.782074,120.782074,131.826672,131.826672,134.558892,134.558892,134.772222,134.772222,89.069673,99.338578,120.782074,131.826672,134.558892,134.772222,3.029787
22,1,0,0,50.000000,0.006908,0.000000,0.000000,50.000000,89.700969,89.700969,99.746285,99.746285,120.847778,120.847778,131.815744,131.815744,134.547960,134.547960,134.761291,134.761291,89.700969,99.746285,120.847778,131.815744,134.547960,134.761291,3.019198
23,1,0,0,50.000000,0.006923,0.000000,0.000000,50.000000,90.328526,90.328526,100.156136,100.156136,120.913515,120.913515,131.804787,131.804787,134.537000,134.537000,134.750330,134.750330,90.328526,100.156136,120.913515,131.804787,134.537000,134.750330,3.008624
