minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,108.388798,108.388798,120.068798,120.068798,122.988798,122.988798,122.988798,122.988798,122.988798,122.988798,122.988798,122.988798,108.388798,120.068798,122.988798,122.988798,122.988798,122.988798,2.611373
2,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,98.179772,98.179772,113.439847,113.439847,122.277265,122.277265,122.978065,122.978065,122.978065,122.978065,122.978065,122.978065,98.179772,113.439847,122.277265,122.978065,122.978065,122.978065,2.782741
3,1,0,0,50.000000,0.007026,0.000000,1.800000,50.000000,91.278358,91.278358,106.145537,106.145537,120.221405,120.221405,122.799612,122.799612,122.967801,122.967801,122.967801,122.967801,91.278358,106.145537,120.221405,122.799612,122.967801,122.967801,2.937908
4,1,0,0,50.000000,0.006843,0.000000,1.800000,50.000000,85.656308,85.656308,99.340046,99.340046,116.909977,116.909977,122.171020,122.171020,122.917609,122.917609,122.957974,122.957974,85.656308,99.340046,116.909977,122.171020,122.917609,122.957974,3.064559
5,1,0,0,50.000000,0.006685,0.000000,1.800000,50.000000,80.961528,80.961528,93.254117,93.254117,112.761468,112.761468,120.898985,120.898985,122.729038,122.729038,122.938897,122.938897,80.961528,93.254117,112.761468,120.898985,122.729038,122.938897,3.174409
6,1,0,0,50.000000,0.006550,0.000000,1.800000,50.000000,76.993027,76.993027,87.912815,87.912815,108.149480,108.149480,118.937033,118.937033,122.280873,122.280873,122.879579,122.879579,76.993027,87.912815,108.149480,118.937033,122.280873,122.879579,3.269255
7,1,0,0,50.000000,0.006434,0.000000,1.800000,50.000000,73.617970,73.617970,83.267478,83.267478,103.364300,103.364300,116.339511,116.339511,121.469836,121.469836,122.727374,122.727374,73.617970,83.267478,103.364300,116.339511,121.469836,122.727374,3.350950
8,1,0,0,50.000000,0.006335,0.000000,1.800000,50.000000,70.737685,70.737685,79.246860,79.246860,98.615556,98.615556,113.217391,113.217391,120.230478,120.230478,122.417484,122.417484,70.737685,79.246860,98.615556,113.217391,120.230478,122.417484,3.421222
9,1,0,0,50.000000,0.006351,0.000000,0.000000,50.000000,71.356337,71.356337,79.709852,79.709852,98.690679,98.690679,113.209293,113.209293,120.222367,120.222367,122.409373,122.409373,71.356337,79.709852,98.690679,113.209293,120.222367,122.409373,3.410197
10,1,0,0,50.000000,0.006366,0.000000,0.000000,50.000000,71.972595,71.972595,80.173442,80.173442,98.766562,98.766562,113.201168,113.201168,120.214226,120.214226,122.401232,122.401232,71.972595,80.173442,98.766562,113.201168,120.214226,122.401232,3.399190
11,1,0,0,50.000000,0.006382,0.000000,0.000000,50.000000,72.586436,72.586436,80.637488,80.637488,98.843356,98.843356,113.193017,113.193017,120.206055,120.206055,122.393061,122.393061,72.586436,80.637488,98.843356,113.193017,120.206055,122.393061,3.388200
12,1,0,0,50.000000,0.006397,0.000000,0.000000,50.000000,73.197820,73.197820,81.101845,81.101845,98.921232,98.921232,113.184841,113.184841,120.197854,120.197854,122.384859,122.384859,73.197820,81.101845,98.921232,113.184841,120.197854,122.384859,3.377230
13,1,0,0,50.000000,0.006412,0.000000,0.000000,50.000000,73.806687,73.806687,81.566357,81.566357,99.000388,99.000388,113.176640,113.176640,120.189623,120.189623,122.376628,122.376628,73.806687,81.566357,99.000388,113.176640,120.189623,122.376628,3.366283
14,1,0,0,50.000000,0.006319,0.000000,1.800000,50.000000,70.632430,70.632430,78.239848,78.239848,94.900583,94.900583,109.766586,109.766586,118.498709,118.498709,121.843948,121.843948,70.632430,78.239848,94.900583,109.766586,118.498709,121.843948,3.432454
15,1,0,0,50.000000,0.006238,0.000000,1.800000,50.000000,68.062664,68.062664,75.103920,75.103920,90.995428,90.995428,106.191456,106.191456,116.395631,116.395631,121.033721,121.033721,68.062664,75.103920,90.995428,106.191456,116.395631,121.033721,3.490481
16,1,0,0,50.000000,0.006168,0.000000,1.800000,50.000000,65.920481,65.920481,72.282606,72.282606,87.290064,87.290064,102.537619,102.537619,113.939684,113.939684,119.913633,119.913633,65.920481,72.282606,87.290064,102.537619,113.939684,119.913633,3.540882
17,1,0,0,50.000000,0.006107,0.000000,1.800000,50.000000,64.102668,64.102668,69.794629,69.794629,83.820165,83.820165,98.872002,98.872002,111.196662,111.196662,118.473356,118.473356,64.102668,69.794629,83.820165,98.872002,111.196662,118.473356,3.584498
18,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,61.996994,61.996994,67.137348,67.137348,80.447914,80.447914,95.253439,95.253439,112.322947,112.322947,116.720827,116.720827,61.996994,67.137348,80.447914,95.253439,112.322947,116.720827,3.622235
19,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,60.242903,60.242903,64.766867,64.766867,77.247574,77.247574,91.694309,91.694309,112.310788,112.310788,115.659532,115.659532,60.242903,64.766867,77.247574,91.694309,112.310788,115.659532,3.664213
20,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,58.761865,58.761865,62.692872,62.692872,74.246712,74.246712,88.221600,88.221600,111.447668,111.447668,114.850341,114.850341,58.761865,62.692872,74.246712,88.221600,111.447668,114.850341,3.700394
21,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,57.502234,57.502234,60.895843,60.895843,71.468605,71.468605,84.862442,84.862442,109.958552,109.958552,114.028514,114.028514,57.502234,60.895843,71.468605,84.862442,109.958552,114.028514,3.731504
22,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,57.496940,57.496940,60.890549,60.890549,71.463311,71.463311,84.857148,84.857148,114.033403,114.033403,114.033403,114.033403,57.496940,60.890549,71.463311,84.857148,114.033403,114.033403,3.731611
23,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,57.491538,57.491538,60.885147,60.885147,71.457909,71.457909,84.851746,84.851746,116.073164,116.073164,116.073164,116.073164,57.491538,60.885147,71.457909,84.851746,116.073164,116.073164,3.731721
24,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,57.486028,57.486028,60.879637,60.879637,71.452399,71.452399,84.846236,84.846236,118.112817,118.112817,118.112817,118.112817,57.486028,60.879637,71.452399,84.846236,118.112817,118.112817,3.731833
25,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,57.480410,57.480410,60.874019,60.874019,71.446781,71.446781,84.840618,84.840618,120.152362,120.152362,120.152362,120.152362,57.480410,60.874019,71.446781,84.840618,120.152362,120.152362,3.731948
26,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,57.474684,57.474684,60.868292,60.868292,71.441055,71.441055,84.834891,84.834891,122.191800,122.191800,122.191800,122.191800,57.474684,60.868292,71.441055,84.834891,122.191800,122.191800,3.732064
27,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,56.404232,56.404232,59.319609,59.319609,68.898219,68.898219,81.614998,81.614998,117.311096,117.311096,122.186427,122.186427,56.404232,59.319609,68.898219,81.614998,117.311096,122.186427,3.758721
28,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,55.487647,55.487647,57.989449,57.989449,66.594334,66.594334,78.557952,78.557952,112.829340,112.829340,121.011328,121.011328,55.487647,57.989449,66.594334,78.557952,112.829340,121.011328,3.781587
29,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,54.702339,54.702339,56.847942,56.847942,64.524488,64.524488,75.682010,75.682010,108.689860,108.689860,119.042977,119.042977,54.702339,56.847942,64.524488,75.682010,108.689860,119.042977,3.801197
30,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,54.029308,54.029308,55.868787,55.868787,62.677777,62.677777,72.999864,72.999864,104.853962,104.853962,116.553889,116.553889,54.029308,55.868787,62.677777,72.999864,104.853962,116.553889,3.818012
31,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,53.452424,53.452424,55.029116,55.029116,61.039596,61.039596,70.518540,70.518540,101.295283,101.295283,113.741884,113.741884,53.452424,55.029116,61.039596,70.518540,101.295283,113.741884,3.832429
32,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,52.957930,52.957930,54.309175,54.309175,59.593357,59.593357,68.239870,68.239870,97.995467,97.995467,110.750976,110.750976,52.957930,54.309175,59.593357,68.239870,97.995467,110.750976,3.844789
33,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,52.534058,52.534058,53.691958,53.691958,58.321710,58.321710,66.161263,66.161263,94.941007,94.941007,107.686210,107.686210,52.534058,53.691958,58.321710,66.161263,94.941007,107.686210,3.855385
34,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,52.170730,52.170730,53.162849,53.162849,57.207386,57.207386,64.276587,64.276587,92.121012,92.121012,104.624178,104.624178,52.170730,53.162849,57.207386,64.276587,92.121012,104.624178,3.864467
35,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,52.167439,52.167439,53.159557,53.159557,57.204094,57.204094,64.273296,64.273296,96.208047,96.208047,104.620886,104.620886,52.167439,53.159557,57.204094,64.273296,96.208047,104.620886,3.864535
36,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,52.164038,52.164038,53.156157,53.156157,57.200694,57.200694,64.269895,64.269895,100.294974,100.294974,104.617486,104.617486,52.164038,53.156157,57.200694,64.269895,100.294974,104.617486,3.864604
37,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,52.160530,52.160530,53.152648,53.152648,57.197186,57.197186,64.266387,64.266387,104.381792,104.381792,104.613978,104.613978,52.160530,53.152648,57.197186,64.266387,104.381792,104.613978,3.864675
38,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,52.156913,52.156913,53.149031,53.149031,57.193569,57.193569,64.262770,64.262770,106.539431,106.539431,106.539431,106.539431,52.156913,53.149031,57.193569,64.262770,106.539431,106.539431,3.864749
39,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,52.153187,52.153187,53.145306,53.145306,57.189843,57.189843,64.259044,64.259044,108.580869,108.580869,108.580869,108.580869,52.153187,53.145306,57.189843,64.259044,108.580869,108.580869,3.864825
40,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,51.844759,51.844759,52.691942,52.691942,56.215695,56.215695,62.558977,62.558977,102.030499,102.030499,108.577410,108.577410,51.844759,52.691942,56.215695,62.558977,102.030499,108.577410,3.872578
41,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,51.579924,51.579924,52.304325,52.304325,55.366801,55.366801,61.033396,61.033396,96.644467,96.644467,107.002958,107.002958,51.579924,52.304325,55.366801,61.033396,96.644467,107.002958,3.879218
42,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,51.352760,51.352760,51.972577,51.972577,54.628870,54.628870,59.670476,59.670476,92.185200,92.185200,104.513983,104.513983,51.352760,51.972577,54.628870,59.670476,92.185200,104.513983,3.884906
43,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,51.158021,51.158021,51.688503,51.688503,53.988663,53.988663,58.457794,58.457794,88.469296,88.469296,101.552378,101.552378,51.158021,51.688503,53.988663,58.457794,88.469296,101.552378,3.889780
44,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,50.991135,50.991135,51.445196,51.445196,53.434148,53.434148,57.382726,57.382726,85.354386,85.354386,98.409962,98.409962,50.991135,51.445196,53.434148,57.382726,85.354386,98.409962,3.893954
45,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,50.848147,50.848147,51.236787,51.236787,52.954525,52.954525,56.432793,56.432793,82.729239,82.729239,95.274349,95.274349,50.848147,51.236787,52.954525,56.432793,82.729239,95.274349,3.897531
46,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,50.725651,50.725651,51.058266,51.058266,52.540174,52.540174,55.595914,55.595914,80.506324,80.506324,92.261428,92.261428,50.725651,51.058266,52.540174,55.595914,80.506324,92.261428,3.900594
47,0,1,0,50.000000,0.000000,0.075000,1.800000,50.000000,50.620720,50.620720,50.905348,50.905348,52.182583,52.182583,54.860604,54.860604,78.616220,78.616220,89.438271,89.438271,50.620720,50.905348,52.182583,54.860604,78.616220,89.438271,3.903218
48,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.618678,50.618678,50.903307,50.903307,52.180542,52.180542,54.858562,54.858562,82.704505,82.704505,89.436229,89.436229,50.618678,50.903307,52.180542,54.858562,82.704505,89.436229,3.903260
49,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.616528,50.616528,50.901157,50.901157,52.178392,52.178392,54.856413,54.856413,86.792682,86.792682,89.434080,89.434080,50.616528,50.901157,52.178392,54.856413,86.792682,89.434080,3.903304
50,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.614270,50.614270,50.898899,50.898899,52.176133,52.176133,54.854154,54.854154,90.156286,90.156286,90.156286,90.156286,50.614270,50.898899,52.176133,54.854154,90.156286,90.156286,3.903350
51,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.611903,50.611903,50.896532,50.896532,52.173766,52.173766,54.851787,54.851787,92.199082,92.199082,92.199082,92.199082,50.611903,50.896532,52.173766,54.851787,92.199082,92.199082,3.903398
52,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.609427,50.609427,50.894056,50.894056,52.171290,52.171290,54.849311,54.849311,94.241770,94.241770,94.241770,94.241770,50.609427,50.894056,52.171290,54.849311,94.241770,94.241770,3.903448
53,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.606843,50.606843,50.891472,50.891472,52.168706,52.168706,54.846727,54.846727,96.284349,96.284349,96.284349,96.284349,50.606843,50.891472,52.168706,54.846727,96.284349,96.284349,3.903501
54,0,1,0,50.000000,0.000000,0.075000,0.000000,50.000000,50.604150,50.604150,50.888779,50.888779,52.166013,52.166013,54.844034,54.844034,98.326819,98.326819,98.326819,98.326819,50.604150,50.888779,52.166013,54.844034,98.326819,98.326819,3.903556
