minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,71.000000,0.000000,0.000000,1.400000,57.000000,56.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,148.990820,139.702359,148.990820,148.990820,148.990820,148.990820,148.990820,4.213890
2,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.991193,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,148.982013,121.118482,148.982013,148.982013,148.982013,148.982013,148.982013,4.213868
3,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.991566,123.974034,148.973579,148.973579,148.973579,148.973579,148.973579,148.973579,148.973579,148.973579,148.973579,148.973579,102.536757,148.973579,148.973579,148.973579,148.973579,148.973579,4.213847
4,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.991938,56.974697,148.965517,148.965517,148.965517,148.965517,148.965517,148.965517,148.965517,148.965517,148.965517,148.965517,83.957107,148.965517,148.965517,148.965517,148.965517,148.965517,4.213825
5,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.992311,56.975815,146.556070,148.957829,148.957829,148.957829,148.957829,148.957829,148.957829,148.957829,148.957829,148.957829,65.539603,148.797683,148.957829,148.957829,148.957829,148.957829,4.213803
6,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.992684,56.976933,66.483617,148.950512,148.950512,148.950512,148.950512,148.950512,148.950512,148.950512,148.950512,148.950512,56.976568,138.777678,148.950512,148.950512,148.950512,148.950512,4.213782
7,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.993056,56.978051,56.955625,148.758659,148.943568,148.943568,148.943568,148.943568,148.943568,148.943568,148.943568,148.943568,56.977685,120.195743,148.943568,148.943568,148.943568,148.943568,4.213760
8,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.993428,56.979168,56.957739,113.046696,148.936996,148.936996,148.936996,148.936996,148.936996,148.936996,148.936996,148.936996,56.978801,101.615955,148.936996,148.936996,148.936996,148.936996,4.213739
9,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.993801,56.980285,56.959852,56.939329,148.917914,148.930797,148.930797,148.930797,148.930797,148.930797,148.930797,148.930797,56.979918,83.039072,148.929964,148.930797,148.930797,148.930797,4.213717
10,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.994173,56.981402,56.961964,56.942334,140.215104,148.924970,148.924970,148.924970,148.924970,148.924970,148.924970,148.924970,56.981034,65.175058,148.212431,148.924970,148.924970,148.924970,4.213695
11,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.994545,56.982519,56.964077,56.945339,71.297106,148.918667,148.919515,148.919515,148.919515,148.919515,148.919515,148.919515,56.982150,57.106445,137.701791,148.919515,148.919515,148.919515,4.213674
12,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.994917,56.983635,56.966189,56.948343,56.927332,147.418513,148.914432,148.914432,148.914432,148.914432,148.914432,148.914432,56.983265,56.948980,119.282220,148.914432,148.914432,148.914432,4.213652
13,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.995289,56.984751,56.968300,56.951347,56.931270,107.552962,148.909668,148.909721,148.909721,148.909721,148.909721,148.909721,56.984381,56.951936,100.704375,148.909718,148.909721,148.909721,4.213631
14,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.995661,56.985867,56.970411,56.954350,56.935208,58.082435,148.699223,148.905383,148.905383,148.905383,148.905383,148.905383,56.985496,56.954891,82.143712,148.890262,148.905383,148.905383,4.213609
15,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.996033,56.986983,56.972522,56.957352,56.939145,56.919000,134.469604,148.901412,148.901416,148.901416,148.901416,148.901416,56.986611,56.957845,64.931211,147.525008,148.901416,148.901416,4.213587
16,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.996405,56.988099,56.974632,56.960354,56.943082,56.923854,73.320624,148.873395,148.897821,148.897821,148.897821,148.897821,56.987726,56.960799,57.274686,136.606067,148.897821,148.897821,4.213566
17,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.996777,56.989215,56.976743,56.963356,56.947018,56.928707,56.907973,145.209600,148.894597,148.894597,148.894597,148.894597,56.988841,56.963752,56.929514,118.377987,148.894597,148.894597,4.213544
18,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.997148,56.990330,56.978852,56.966357,56.950953,56.933560,56.913750,103.810762,148.889153,148.891746,148.891746,148.891746,56.989955,56.966705,56.934310,99.802258,148.891564,148.891746,4.213523
19,0,0,0,71.000000,0.000000,0.000000,2.800000,57.000000,56.997520,56.991445,56.980962,56.969357,56.954887,56.938411,56.919527,59.415649,148.140652,148.889266,148.889266,148.889266,56.991069,56.969658,56.939106,81.289416,148.828081,148.889266,4.213501
20,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.997892,56.992055,56.982740,56.971769,56.958219,56.942520,56.924481,56.904181,133.136443,148.886983,148.887157,148.887157,56.991865,56.972088,56.943179,66.304637,147.218075,148.889586,4.213479
21,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.998224,56.992757,56.984515,56.974238,56.961574,56.946669,56.929467,56.909986,85.897673,148.817616,148.885381,148.885381,56.992734,56.974550,56.947287,58.304338,138.625488,148.887848,4.213460
22,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.998556,56.993569,56.986283,56.976764,56.964952,56.950859,56.934486,56.915826,59.375006,145.849762,148.883929,148.883937,56.993670,56.977047,56.951429,56.958788,123.379996,148.886434,4.213441
23,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.998887,56.994718,56.988059,56.979339,56.968360,56.955086,56.939538,56.921702,56.927632,122.020407,148.877754,148.882824,56.994665,56.979577,56.955605,56.922602,106.827310,148.884965,4.213422
24,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.999219,56.995863,56.989856,56.981955,56.971799,56.959349,56.944624,56.927612,56.908319,78.599877,148.456008,148.882043,56.995712,56.982142,56.959816,56.928364,90.270597,148.847638,4.213402
25,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.999551,56.997008,56.991723,56.984609,56.975272,56.963647,56.949744,56.933557,56.915087,59.094207,141.417410,148.881266,56.996801,56.984746,56.964062,56.934257,74.445751,148.080321,4.213383
26,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,56.999883,56.998152,56.993785,56.987298,56.978781,56.967980,56.954899,56.939536,56.921890,56.954336,111.238444,148.834071,56.997899,56.987415,56.968343,56.940184,62.648343,143.287485,4.213364
27,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,57.000215,56.999297,56.995857,56.990024,56.982324,56.972347,56.960089,56.945550,56.928728,56.909817,73.468157,147.389606,56.998997,56.990151,56.972659,56.946147,57.802700,131.544751,4.213345
28,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,57.000546,57.000441,56.997927,56.992874,56.985903,56.976749,56.965314,56.951598,56.935600,56.917318,58.774476,135.118466,57.000095,56.992949,56.977009,56.952143,56.971149,115.790214,4.213325
29,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,57.000877,57.001584,56.999997,56.995854,56.989517,56.981185,56.970573,56.957680,56.942506,56.925048,56.974130,101.675547,57.001192,56.995802,56.981394,56.958174,56.926835,99.276636,4.213306
30,1,0,0,71.000000,0.015931,0.000000,2.800000,57.000000,57.001200,57.002718,57.002057,56.998834,56.993174,56.985647,56.975857,56.963788,56.949436,56.932802,56.914580,69.729124,57.002280,56.998692,56.985806,56.964230,56.933535,83.153323,4.213288
31,1,0,0,71.000000,0.015931,0.000000,1.400000,57.000000,57.001487,57.003930,57.003652,57.000836,56.995518,56.988312,56.978885,56.967178,56.953189,56.936918,56.918490,62.933159,57.003423,57.000665,56.988453,56.967598,56.937623,76.716546,4.213280
32,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.002967,57.005251,57.004867,57.001941,56.996531,56.989238,56.979713,56.967907,56.953820,56.937451,56.919226,64.832116,57.004758,57.001778,56.989384,56.968333,56.938165,78.699543,4.213196
33,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.004403,57.006529,57.006038,57.003002,56.997502,56.990119,56.980496,56.968592,56.954407,56.937939,56.920416,67.048385,57.006047,57.002847,56.990271,56.969025,56.938669,80.682480,4.213112
34,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.005781,57.007763,57.007165,57.004019,56.998430,56.990957,56.981236,56.969234,56.954950,56.938384,56.922639,69.574968,57.007291,57.003873,56.991114,56.969672,56.939147,82.665346,4.213031
35,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.007102,57.008954,57.008247,57.004991,56.999315,56.991751,56.981931,56.969831,56.955449,56.938785,56.926927,72.395071,57.008490,57.004854,56.991913,56.970275,56.939620,84.648121,4.212954
36,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.008369,57.010100,57.009284,57.005918,57.000158,56.992500,56.982583,56.970385,56.955905,56.939142,56.934984,75.483063,57.009644,57.005791,56.992668,56.970835,56.940136,86.630759,4.212879
37,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.009585,57.011203,57.010277,57.006801,57.000958,56.993206,56.983190,56.970894,56.956316,56.939455,56.949439,78.805847,57.010754,57.006684,56.993379,56.971350,56.940775,88.613179,4.212808
38,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.010754,57.012261,57.011225,57.007640,57.001714,56.993868,56.983754,56.971359,56.956683,56.939724,56.974125,82.326683,57.011818,57.007534,56.994047,56.971822,56.941677,90.595245,4.212740
39,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.011876,57.013274,57.012129,57.008434,57.002427,56.994486,56.984274,56.971781,56.957006,56.939949,57.014339,86.009349,57.012839,57.008339,56.994671,56.972250,56.943063,92.576737,4.212674
40,1,0,0,71.000000,0.015931,0.000000,0.000000,57.000000,57.012954,57.014244,57.012988,57.009184,57.003097,56.995059,56.984749,56.972158,56.957285,56.940130,57.077084,89.820301,57.013815,57.009101,56.995250,56.972633,56.945267,94.557319,4.212612
