minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,71.000000,0.000000,0.000000,2.350000,58.000000,57.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,148.990943,133.569068,148.990943,148.990943,148.990943,148.990943,148.990943,4.156035
2,0,0,0,71.000000,0.000000,0.000000,3.000000,58.000000,57.991338,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,148.982281,113.874865,148.982281,148.982281,148.982281,148.982281,148.982281,4.156012
3,0,0,0,71.000000,0.000000,0.000000,3.000000,58.000000,57.991733,65.584961,148.974014,148.974014,148.974014,148.974014,148.974014,148.974014,148.974014,148.974014,148.974014,148.974014,94.182932,148.974014,148.974014,148.974014,148.974014,148.974014,4.155989
4,0,0,0,71.000000,0.000000,0.000000,2.350000,58.000000,57.992042,57.974356,148.966056,148.966056,148.966056,148.966056,148.966056,148.966056,148.966056,148.966056,148.966056,148.966056,78.757503,148.966056,148.966056,148.966056,148.966056,148.966056,4.155972
5,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.984086,57.966399,148.958100,148.958100,148.958100,148.958100,148.958100,148.958100,148.958100,148.958100,148.958100,148.958100,78.749547,148.958100,148.958100,148.958100,148.958100,148.958100,4.156430
6,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.976130,57.958444,148.950144,148.950144,148.950144,148.950144,148.950144,148.950144,148.950144,148.950144,148.950144,148.950144,78.741591,148.950144,148.950144,148.950144,148.950144,148.950144,4.156889
7,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.968176,57.950489,148.942189,148.942189,148.942189,148.942189,148.942189,148.942189,148.942189,148.942189,148.942189,148.942189,78.733636,148.942189,148.942189,148.942189,148.942189,148.942189,4.157348
8,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.960222,57.942535,148.934236,148.934236,148.934236,148.934236,148.934236,148.934236,148.934236,148.934236,148.934236,148.934236,78.725683,148.934236,148.934236,148.934236,148.934236,148.934236,4.157807
9,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.952269,57.934583,148.926283,148.926283,148.926283,148.926283,148.926283,148.926283,148.926283,148.926283,148.926283,148.926283,78.717730,148.926283,148.926283,148.926283,148.926283,148.926283,4.158265
10,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.944317,57.926631,148.918331,148.918331,148.918331,148.918331,148.918331,148.918331,148.918331,148.918331,148.918331,148.918331,78.709778,148.918331,148.918331,148.918331,148.918331,148.918331,4.158724
11,0,0,0,71.000000,0.000000,0.000000,0.000000,58.000000,57.936366,57.918680,148.910380,148.910380,148.910380,148.910380,148.910380,148.910380,148.910380,148.910380,148.910380,148.910380,78.701827,148.910380,148.910380,148.910380,148.910380,148.910380,4.159182
