minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,148.990634,0.780707
2,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,148.981270,0.780878
3,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,148.971906,0.781049
4,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,148.962544,0.781221
5,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,148.953183,0.781392
6,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,148.943823,0.781563
7,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,148.934464,0.781734
8,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,148.925106,0.781905
9,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,148.915749,0.782077
10,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,148.906394,0.782248
