minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,148.990849,138.281714,148.990849,148.990849,148.990849,148.990849,148.990849,4.031908
2,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.991064,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,148.981913,127.564633,148.981913,148.981913,148.981913,148.981913,148.981913,4.031897
3,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.991279,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,148.973192,116.848735,148.973192,148.973192,148.973192,148.973192,148.973192,4.031887
4,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.991495,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,148.964687,106.133995,148.964687,148.964687,148.964687,148.964687,148.964687,4.031877
5,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.991710,90.318738,148.956397,148.956397,148.956397,148.956397,148.956397,148.956397,148.956397,148.956397,148.956397,148.956397,95.420390,148.956397,148.956397,148.956397,148.956397,148.956397,4.031866
6,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.991925,54.772114,148.948322,148.948322,148.948322,148.948322,148.948322,148.948322,148.948322,148.948322,148.948322,148.948322,84.707897,148.948322,148.948322,148.948322,148.948322,148.948322,4.031856
7,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.992140,50.157480,148.940462,148.940462,148.940462,148.940462,148.940462,148.940462,148.940462,148.940462,148.940462,148.940462,73.996493,148.940462,148.940462,148.940462,148.940462,148.940462,4.031846
8,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.992355,49.958349,148.932818,148.932818,148.932818,148.932818,148.932818,148.932818,148.932818,148.932818,148.932818,148.932818,63.286154,148.932818,148.932818,148.932818,148.932818,148.932818,4.031835
9,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.984712,49.950706,148.925174,148.925174,148.925174,148.925174,148.925174,148.925174,148.925174,148.925174,148.925174,148.925174,63.278511,148.925174,148.925174,148.925174,148.925174,148.925174,4.032202
10,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.977069,49.943063,148.917531,148.917531,148.917531,148.917531,148.917531,148.917531,148.917531,148.917531,148.917531,148.917531,63.270868,148.917531,148.917531,148.917531,148.917531,148.917531,4.032568
11,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.969427,49.935421,148.909889,148.909889,148.909889,148.909889,148.909889,148.909889,148.909889,148.909889,148.909889,148.909889,63.263226,148.909889,148.909889,148.909889,148.909889,148.909889,4.032935
12,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.961786,49.927780,148.902249,148.902249,148.902249,148.902249,148.902249,148.902249,148.902249,148.902249,148.902249,148.902249,63.255585,148.902249,148.902249,148.902249,148.902249,148.902249,4.033301
13,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.954146,49.920140,148.894609,148.894609,148.894609,148.894609,148.894609,148.894609,148.894609,148.894609,148.894609,148.894609,63.247945,148.894609,148.894609,148.894609,148.894609,148.894609,4.033668
14,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.992575,49.918586,123.493967,148.887184,148.887184,148.887184,148.887184,148.887184,148.887184,148.887184,148.887184,148.887184,54.497599,146.932370,148.887184,148.887184,148.887184,148.887184,4.031825
15,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.992790,49.919765,76.677021,148.879974,148.879974,148.879974,148.879974,148.879974,148.879974,148.879974,148.879974,148.879974,50.779030,139.939589,148.879974,148.879974,148.879974,148.879974,4.031814
16,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.993005,49.920943,54.666654,148.872979,148.872979,148.872979,148.872979,148.872979,148.872979,148.872979,148.872979,148.872979,50.021148,129.987330,148.872979,148.872979,148.872979,148.872979,4.031804
17,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.993220,49.922122,50.340094,148.866198,148.866198,148.866198,148.866198,148.866198,148.866198,148.866198,148.866198,148.866198,49.945127,119.354396,148.866198,148.866198,148.866198,148.866198,4.031794
18,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.993435,49.945931,49.910260,139.145197,148.859633,148.859633,148.859633,148.859633,148.859633,148.859633,148.859633,148.859633,49.945617,108.646115,148.859633,148.859633,148.859633,148.859633,4.031784
19,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.993649,49.960824,49.888694,103.837765,148.853282,148.853282,148.853282,148.853282,148.853282,148.853282,148.853282,148.853282,49.950707,97.934372,148.853282,148.853282,148.853282,148.853282,4.031773
20,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.993864,49.963778,49.890135,69.045546,148.847147,148.847147,148.847147,148.847147,148.847147,148.847147,148.847147,148.847147,49.955948,87.223596,148.847147,148.847147,148.847147,148.847147,4.031763
21,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.994079,49.965028,49.892292,53.949406,148.841225,148.841225,148.841225,148.841225,148.841225,148.841225,148.841225,148.841225,49.961192,76.513910,148.841225,148.841225,148.841225,148.841225,4.031753
22,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.988159,49.959107,49.886372,53.943485,148.835305,148.835305,148.835305,148.835305,148.835305,148.835305,148.835305,148.835305,49.955271,76.507990,148.835305,148.835305,148.835305,148.835305,4.032037
23,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.982239,49.953188,49.880452,53.937566,148.829385,148.829385,148.829385,148.829385,148.829385,148.829385,148.829385,148.829385,49.949352,76.502070,148.829385,148.829385,148.829385,148.829385,4.032320
24,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.976320,49.947269,49.874533,53.931647,148.823466,148.823466,148.823466,148.823466,148.823466,148.823466,148.823466,148.823466,49.943433,76.496151,148.823466,148.823466,148.823466,148.823466,4.032604
25,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.970402,49.941350,49.868615,53.925728,148.817548,148.817548,148.817548,148.817548,148.817548,148.817548,148.817548,148.817548,49.937514,76.490233,148.817548,148.817548,148.817548,148.817548,4.032888
26,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.964484,49.935433,49.862697,53.919811,148.811631,148.811631,148.811631,148.811631,148.811631,148.811631,148.811631,148.811631,49.931597,76.484316,148.811631,148.811631,148.811631,148.811631,4.033172
27,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.994297,49.936610,49.874669,50.377431,145.330366,148.805928,148.805928,148.805928,148.805928,148.805928,148.805928,148.805928,49.939290,66.023589,148.558798,148.805928,148.805928,148.805928,4.031742
28,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.994512,49.937785,49.894906,49.878320,124.600713,148.800439,148.800439,148.800439,148.800439,148.800439,148.800439,148.800439,49.945040,57.393389,146.478642,148.800439,148.800439,148.800439,4.031732
29,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.994726,49.938960,49.905567,49.835839,90.022013,148.795166,148.795166,148.795166,148.795166,148.795166,148.795166,148.795166,49.949646,52.369652,140.794402,148.795166,148.795166,148.795166,4.031722
30,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.994941,49.940135,49.909403,49.836254,64.014761,148.790106,148.790106,148.790106,148.790106,148.790106,148.790106,148.790106,49.953989,50.442798,132.014758,148.790106,148.790106,148.790106,4.031711
31,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.995155,49.958839,49.911735,49.843056,53.166455,147.592990,148.785261,148.785261,148.785261,148.785261,148.785261,148.785261,49.958302,49.954989,121.797290,148.785261,148.785261,148.785261,4.031701
32,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.995370,49.970637,49.913908,49.859839,50.355602,137.066028,148.780631,148.780631,148.780631,148.780631,148.780631,148.780631,49.962613,49.875346,111.172826,148.780631,148.780631,148.780631,4.031691
33,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.995584,49.973187,49.916072,49.876426,49.872913,110.596622,148.776215,148.776215,148.776215,148.776215,148.776215,148.776215,49.966922,49.871823,100.473387,148.776215,148.776215,148.776215,4.031681
34,0,0,0,71.000000,0.000000,0.000000,1.500000,50.000000,49.995798,49.974418,49.918236,49.885410,49.818346,80.170531,148.772013,148.772013,148.772013,148.772013,148.772013,148.772013,49.971231,49.878093,89.765275,148.772013,148.772013,148.772013,4.031670
35,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.991597,49.970217,49.914034,49.881209,49.814145,80.166330,148.767812,148.767812,148.767812,148.767812,148.767812,148.767812,49.967030,49.873892,89.761074,148.767812,148.767812,148.767812,4.031872
36,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.987397,49.966016,49.909834,49.877008,49.809944,80.162129,148.763611,148.763611,148.763611,148.763611,148.763611,148.763611,49.962830,49.869691,89.756874,148.763611,148.763611,148.763611,4.032073
37,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.983196,49.961816,49.905634,49.872808,49.805744,80.157929,148.759411,148.759411,148.759411,148.759411,148.759411,148.759411,49.958630,49.865491,89.752673,148.759411,148.759411,148.759411,4.032275
38,0,0,0,71.000000,0.000000,0.000000,0.000000,50.000000,49.978997,49.957616,49.901434,49.868608,49.801545,80.153729,148.755212,148.755212,148.755212,148.755212,148.755212,148.755212,49.954430,49.861291,89.748474,148.755212,148.755212,148.755212,4.032476
