minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,145.993876,0.370351
2,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,145.987753,0.370577
3,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,145.981631,0.370804
4,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,145.975510,0.371031
5,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,145.969389,0.371257
6,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,145.963269,0.371484
7,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,145.957149,0.371711
8,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,145.951031,0.371937
9,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,145.944913,0.372164
10,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,145.938796,0.372391
11,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,145.932680,0.372617
12,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,145.926564,0.372844
13,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,145.920449,0.373070
14,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,145.914335,0.373297
15,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,145.908222,0.373524
16,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,145.902109,0.373750
17,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,145.895997,0.373977
18,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,145.889886,0.374204
19,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,145.883775,0.374430
20,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,145.877665,0.374657
21,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,145.871556,0.374884
22,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,145.865448,0.375110
23,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,145.859341,0.375337
24,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,145.853234,0.375563
25,0,0,0,95.000000,0.000000,0.000000,0.000000,58.000000,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,145.847128,0.375790
