time,T+AF8-In+AF8-water,T+AF8-Out+AF8-water,T+AF8-Evap+AF8-In,T+AF8-Evap+AF8-Sat,T+AF8-Evap+AF8-Out,T+AF8-out+AF8-air,Power+AF8-W,flow+AF8-out+AF8-gpm,T+AF8-Tank+AF8-02,T+AF8-Tank+AF8-04,T+AF8-Tank+AF8-06,T+AF8-Tank+AF8-08,T+AF8-Tank+AF8-10,T+AF8-Tank+AF8-12,Power+AF8-res+AF8-kW,Power+AF8-comp+AF8-kW,T+AF8-Plenum+AF8-In,RH+AF8-In,minutes,hours,Power+AF8-kW,T+AF8-Tank+AF8-ave,T+AF8-Tank+AF8-COP,flow+AF8-out+AF8-gal,flow+AF8-out+AF8-tot,sumM+AF8-Outlet,dEin,E+AF8-in+AF8-tot,dT+AF8-Tank+AF8-ave,dEout,COP,minutes5,dEin5min,T+AF8-Tank+AF8-ave+AF8-5min,dT+AF8-Tank+AF8-ave+AF8-5min,dEadd5min,COP5min,Cap5min,Input5min
17may2013 19:44:00,,,24.940926,24.236759,24.606157,33.705741,1,0,60.471481,62.780648,63.45912,63.799676,64.151204,64.905278,,,35.1,44,1,0,0.001,63.26123,63.26123,0,0,0,0.06,34.85954,0.0300217,39.13424,,0,,,,,,,
17may2013 19:45:00,,,25.665833,24.856991,24.764491,34.338657,1,0,60.512176,62.796528,63.454167,63.797083,64.155972,64.919352,,,35.1,45,2,0,0.001,63.27254,63.27254,0,0,0,0.06,34.91953,0.0113106,14.74371,,0,,,,,,,
17may2013 19:46:00,,,26.293148,25.316852,25.346157,34.630324,1,0,60.526991,62.806944,63.458241,63.801759,64.154444,64.890417,,,35.1,46,3,0,0.001,63.27313,63.27313,0,0,0,0.06,34.97953,0.0005875,0.7657779,,0,,,,,,,
17may2013 19:47:00,,,26.412963,25.555417,25.625787,34.574907,1,0,60.505046,62.790231,63.440463,63.784861,64.146991,64.835,,,34.8,45,4,0,0.001,63.25043,63.25043,0,0,0,0.06,35.03954,+AC0-0.0227013,+AC0-29.59185,,0,,,,,,,
17may2013 19:48:00,,,26.289167,25.528935,25.840741,34.555046,1,0,60.497407,62.779491,63.439167,63.785602,64.149259,64.829444,,,34.6,45,5,0,0.001,63.24673,63.24673,0,0,0,0.06,35.09953,+AC0-0.0037041,+AC0-4.828379,,1,,,,,,,
17may2013 19:49:00,,,26.096574,25.388889,26.060787,34.657685,1,0,60.453194,62.745694,63.410185,63.739491,64.121806,64.803426,,,34.7,44,6,0,0.001,63.2123,63.2123,0,0,0,0.06,35.15953,+AC0-0.0344276,+AC0-44.87757,,1,,,,,,,
17may2013 19:50:00,,,25.98287,25.213333,26.478981,34.896343,1,0,60.431435,62.708704,63.378565,63.726435,64.108333,64.779028,,,34.7,43,7,0,0.001,63.18875,63.18875,0,0,0,0.06,35.21953,+AC0-0.0235481,+AC0-30.69576,,1,,,,,,,
17may2013 19:51:00,,,26.431713,25.315556,26.882824,35.060926,1,0,60.385231,62.696528,63.365046,63.723194,64.088611,64.760231,,,34.7,42,8,0,0.001,63.16981,63.16981,0,0,0,0.06,35.27953,+AC0-0.0189438,+AC0-24.69385,,1,,,,,,,
17may2013 19:52:00,,,26.691667,25.294306,27.34662,35.260648,1,0,60.415926,62.705417,63.380972,63.713889,64.096944,64.763796,,,34.7,42,9,0,0.001,63.17949,63.17949,0,0,0,0.06,35.33953,0.0096817,12.62042,,1,,,,,,,
17may2013 19:53:00,,,27.207639,25.506528,27.902778,35.462361,1,0,60.402963,62.686389,63.361898,63.715,64.089444,64.76125,,,34.8,41,10,0,0.001,63.16949,63.16949,0,0,0,0.06,35.39953,+AC0-0.0099983,+AC0-13.03314,,2,,,,,,,
