minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,2.350000,52.000000,117.720596,117.720596,131.375332,131.375332,134.789017,134.789017,134.789017,134.789017,134.789017,134.789017,134.789017,134.789017,117.720596,131.375332,134.789017,134.789017,134.789017,134.789017,1.998286
2,0,0,0,50.000000,0.000000,0.000000,3.000000,52.000000,101.972427,101.972427,122.036819,122.036819,133.700617,133.700617,134.778623,134.778623,134.778623,134.778623,134.778623,134.778623,101.972427,122.036819,133.700617,134.778623,134.778623,134.778623,2.315840
3,0,0,0,50.000000,0.000000,0.000000,3.000000,52.000000,91.100029,91.100029,110.772718,110.772718,130.007508,130.007508,134.428396,134.428396,134.768818,134.768818,134.768818,134.768818,91.100029,110.772718,130.007508,134.428396,134.768818,134.768818,2.595424
4,0,0,0,50.000000,0.000000,0.000000,2.350000,52.000000,85.498307,85.498307,101.817240,101.817240,125.240086,125.240086,133.325465,133.325465,134.675266,134.675266,134.759476,134.759476,85.498307,101.817240,125.240086,133.325465,134.675266,134.759476,2.778962
5,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.488966,85.488966,101.807899,101.807899,125.230744,125.230744,133.316124,133.316124,134.665924,134.665924,134.750134,134.750134,85.488966,101.807899,125.230744,133.316124,134.665924,134.750134,2.779197
6,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.479625,85.479625,101.798559,101.798559,125.221404,125.221404,133.306783,133.306783,134.656584,134.656584,134.740794,134.740794,85.479625,101.798559,125.221404,133.306783,134.656584,134.740794,2.779432
7,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.470287,85.470287,101.789220,101.789220,125.212065,125.212065,133.297445,133.297445,134.647246,134.647246,134.731455,134.731455,85.470287,101.789220,125.212065,133.297445,134.647246,134.731455,2.779668
8,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.460949,85.460949,101.779882,101.779882,125.202728,125.202728,133.288107,133.288107,134.637908,134.637908,134.722118,134.722118,85.460949,101.779882,125.202728,133.288107,134.637908,134.722118,2.779903
9,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.451613,85.451613,101.770546,101.770546,125.193391,125.193391,133.278771,133.278771,134.628572,134.628572,134.712781,134.712781,85.451613,101.770546,125.193391,133.278771,134.628572,134.712781,2.780138
10,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.442278,85.442278,101.761211,101.761211,125.184056,125.184056,133.269436,133.269436,134.619236,134.619236,134.703446,134.703446,85.442278,101.761211,125.184056,133.269436,134.619236,134.703446,2.780374
11,0,0,0,50.000000,0.000000,0.000000,0.000000,52.000000,85.432944,85.432944,101.751877,101.751877,125.174723,125.174723,133.260102,133.260102,134.609903,134.609903,134.694113,134.694113,85.432944,101.751877,125.174723,133.260102,134.609903,134.694113,2.780609
