minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,67.500000,0.000000,0.000000,1.400000,61.000000,128.534601,128.534601,136.099513,136.099513,137.990741,137.990741,137.990741,137.990741,137.990741,137.990741,137.990741,137.990741,128.534601,136.099513,137.990741,137.990741,137.990741,137.990741,2.114695
2,0,0,0,67.500000,0.000000,0.000000,2.800000,61.000000,112.827617,112.827617,129.654409,129.654409,137.424579,137.424579,137.981994,137.981994,137.981994,137.981994,137.981994,137.981994,112.827617,129.654409,137.424579,137.981994,137.981994,137.981994,2.435721
3,0,0,0,67.500000,0.000000,0.000000,2.800000,61.000000,102.067677,102.067677,120.162893,120.162893,135.126188,135.126188,137.809467,137.809467,137.973758,137.973758,137.973758,137.973758,102.067677,120.162893,135.126188,137.809467,137.973758,137.973758,2.738213
4,0,0,0,67.500000,0.000000,0.000000,2.800000,61.000000,94.100136,94.100136,110.677501,110.677501,130.708229,130.708229,137.010882,137.010882,137.917611,137.917611,137.966033,137.966033,94.100136,110.677501,130.708229,137.010882,137.917611,137.966033,3.005808
5,0,0,0,67.500000,0.000000,0.000000,2.800000,61.000000,87.911632,87.911632,102.209789,102.209789,124.797223,124.797223,135.146045,135.146045,137.643151,137.643151,137.944548,137.944548,87.911632,102.209789,124.797223,135.146045,137.643151,137.944548,3.235460
6,1,0,0,67.500000,0.013535,0.000000,2.800000,61.000000,84.199878,84.199878,95.758839,95.758839,118.134907,118.134907,132.089171,132.089171,136.900460,136.900460,137.849013,137.849013,84.199878,95.758839,118.134907,132.089171,136.900460,137.849013,3.429411
7,1,0,0,67.500000,0.013222,0.000000,2.800000,61.000000,81.020047,81.020047,90.703944,90.703944,111.539490,111.539490,127.970115,127.970115,135.476160,135.476160,137.563203,137.563203,81.020047,90.703944,111.539490,127.970115,135.476160,137.563203,3.562940
8,1,0,0,67.500000,0.012974,0.000000,2.800000,61.000000,78.366212,78.366212,86.624268,86.624268,105.411629,105.411629,123.121674,123.121674,133.258079,133.258079,136.942301,136.942301,78.366212,86.624268,105.411629,123.121674,133.258079,136.942301,3.673016
9,1,0,0,67.500000,0.012776,0.000000,2.800000,61.000000,76.162457,76.162457,83.281676,83.281676,99.922714,99.922714,117.896694,117.896694,130.265192,130.265192,135.851109,135.851109,76.162457,83.281676,99.922714,117.896694,130.265192,135.851109,3.763993
10,1,0,0,67.500000,0.012616,0.000000,2.800000,61.000000,74.318524,74.318524,80.508084,80.508084,95.138888,95.138888,112.594699,112.594699,126.614878,126.614878,134.199868,134.199868,74.318524,80.508084,95.138888,112.594699,126.614878,134.199868,3.839497
11,1,0,0,67.500000,0.012486,0.000000,2.800000,61.000000,72.756037,72.756037,78.175975,78.175975,91.054712,91.054712,107.446931,107.446931,122.478197,122.478197,131.959866,131.959866,72.756037,78.175975,91.054712,107.446931,122.478197,131.959866,3.902733
12,1,0,0,67.500000,0.012377,0.000000,2.800000,61.000000,71.423509,71.423509,76.196993,76.196993,87.599576,87.599576,102.616244,102.616244,118.043953,118.043953,129.161266,129.161266,71.423509,76.196993,87.599576,102.616244,118.043953,129.161266,3.956338
13,1,0,0,67.500000,0.012286,0.000000,2.800000,61.000000,70.289035,70.289035,74.513158,74.513158,84.670955,84.670955,98.199839,98.199839,113.493325,113.493325,125.880988,125.880988,70.289035,74.513158,84.670955,98.199839,113.493325,125.880988,4.002105
14,1,0,0,67.500000,0.012209,0.000000,2.800000,61.000000,69.325415,69.325415,73.080503,73.080503,82.172230,82.172230,94.241821,94.241821,108.982831,108.982831,122.226675,122.226675,69.325415,73.080503,82.172230,94.241821,108.982831,122.226675,4.041180
15,1,0,0,67.500000,0.012144,0.000000,2.800000,61.000000,68.504572,68.504572,71.859213,71.859213,80.024995,80.024995,90.751743,90.751743,104.636122,104.636122,118.320379,118.320379,68.504572,71.859213,80.024995,90.751743,104.636122,118.320379,4.074486
16,1,0,0,67.500000,0.012089,0.000000,2.800000,61.000000,67.799704,67.799704,70.812354,70.812354,78.167180,78.167180,87.715338,87.715338,100.543907,100.543907,114.284627,114.284627,67.799704,70.812354,78.167180,87.715338,100.543907,114.284627,4.102931
17,1,0,0,67.500000,0.012043,0.000000,2.800000,61.000000,67.189504,67.189504,69.909016,69.909016,76.550488,76.550488,85.095895,85.095895,96.767472,96.767472,110.232595,110.232595,67.189504,69.909016,76.550488,85.095895,96.767472,110.232595,4.127382
18,0,1,0,67.500000,0.000000,0.070833,2.800000,61.000000,65.986997,65.986997,68.481828,68.481828,74.591062,74.591062,82.575309,82.575309,96.375294,96.375294,106.261987,106.261987,65.986997,68.481828,74.591062,82.575309,96.375294,106.261987,4.148549
19,0,1,0,67.500000,0.000000,0.070833,2.800000,61.000000,65.053665,65.053665,67.206574,67.206574,72.788738,72.788738,80.220350,80.220350,95.356027,95.356027,103.346307,103.346307,65.053665,67.206574,72.788738,80.220350,95.356027,103.346307,4.186126
20,0,1,0,67.500000,0.000000,0.070833,1.400000,61.000000,64.860150,64.860150,66.482164,66.482164,71.964467,71.964467,79.123529,79.123529,96.173675,96.173675,102.167156,102.167156,64.860150,66.482164,71.964467,79.123529,96.173675,102.167156,4.201774
21,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.858446,64.858446,66.480460,66.480460,71.962763,71.962763,79.121825,79.121825,99.221776,99.221776,102.165452,102.165452,64.858446,66.480460,71.962763,79.121825,99.221776,102.165452,4.201832
22,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.856673,64.856673,66.478687,66.478687,71.960990,71.960990,79.120052,79.120052,102.216744,102.216744,102.216744,102.216744,64.856673,66.478687,71.960990,79.120052,102.216744,102.216744,4.201892
23,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.854832,64.854832,66.476846,66.476846,71.959149,71.959149,79.118211,79.118211,103.739805,103.739805,103.739805,103.739805,64.854832,66.476846,71.959149,79.118211,103.739805,103.739805,4.201955
24,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.852923,64.852923,66.474937,66.474937,71.957240,71.957240,79.116302,79.116302,105.262798,105.262798,105.262798,105.262798,64.852923,66.474937,71.957240,79.116302,105.262798,105.262798,4.202020
25,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.850945,64.850945,66.472959,66.472959,71.955262,71.955262,79.114324,79.114324,106.785723,106.785723,106.785723,106.785723,64.850945,66.472959,71.955262,79.114324,106.785723,106.785723,4.202088
26,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.848899,64.848899,66.470913,66.470913,71.953216,71.953216,79.112278,79.112278,108.308580,108.308580,108.308580,108.308580,64.848899,66.470913,71.953216,79.112278,108.308580,108.308580,4.202157
27,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.846785,64.846785,66.468799,66.468799,71.951102,71.951102,79.110164,79.110164,109.831368,109.831368,109.831368,109.831368,64.846785,66.468799,71.951102,79.110164,109.831368,109.831368,4.202230
28,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.844602,64.844602,66.466616,66.466616,71.948919,71.948919,79.107981,79.107981,111.354088,111.354088,111.354088,111.354088,64.844602,66.466616,71.948919,79.107981,111.354088,111.354088,4.202304
29,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.842351,64.842351,66.464365,66.464365,71.946669,71.946669,79.105730,79.105730,112.876739,112.876739,112.876739,112.876739,64.842351,66.464365,71.946669,79.105730,112.876739,112.876739,4.202381
30,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.840032,64.840032,66.462046,66.462046,71.944349,71.944349,79.103411,79.103411,114.399322,114.399322,114.399322,114.399322,64.840032,66.462046,71.944349,79.103411,114.399322,114.399322,4.202460
31,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.837645,64.837645,66.459658,66.459658,71.941962,71.941962,79.101023,79.101023,115.921837,115.921837,115.921837,115.921837,64.837645,66.459658,71.941962,79.101023,115.921837,115.921837,4.202541
32,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.835189,64.835189,66.457203,66.457203,71.939506,71.939506,79.098568,79.098568,117.444284,117.444284,117.444284,117.444284,64.835189,66.457203,71.939506,79.098568,117.444284,117.444284,4.202625
33,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.832665,64.832665,66.454679,66.454679,71.936982,71.936982,79.096044,79.096044,118.966663,118.966663,118.966663,118.966663,64.832665,66.454679,71.936982,79.096044,118.966663,118.966663,4.202711
34,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.830072,64.830072,66.452086,66.452086,71.934390,71.934390,79.093451,79.093451,120.488973,120.488973,120.488973,120.488973,64.830072,66.452086,71.934390,79.093451,120.488973,120.488973,4.202800
35,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.827412,64.827412,66.449426,66.449426,71.931729,71.931729,79.090791,79.090791,122.011215,122.011215,122.011215,122.011215,64.827412,66.449426,71.931729,79.090791,122.011215,122.011215,4.202891
36,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.824683,64.824683,66.446697,66.446697,71.929000,71.929000,79.088062,79.088062,123.533388,123.533388,123.533388,123.533388,64.824683,66.446697,71.929000,79.088062,123.533388,123.533388,4.202984
37,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.821886,64.821886,66.443900,66.443900,71.926203,71.926203,79.085265,79.085265,125.055494,125.055494,125.055494,125.055494,64.821886,66.443900,71.926203,79.085265,125.055494,125.055494,4.203079
38,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.819021,64.819021,66.441035,66.441035,71.923338,71.923338,79.082400,79.082400,126.577531,126.577531,126.577531,126.577531,64.819021,66.441035,71.923338,79.082400,126.577531,126.577531,4.203177
39,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.816087,64.816087,66.438101,66.438101,71.920405,71.920405,79.079466,79.079466,128.099500,128.099500,128.099500,128.099500,64.816087,66.438101,71.920405,79.079466,128.099500,128.099500,4.203277
40,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.813086,64.813086,66.435099,66.435099,71.917403,71.917403,79.076465,79.076465,129.621401,129.621401,129.621401,129.621401,64.813086,66.435099,71.917403,79.076465,129.621401,129.621401,4.203379
41,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.810016,64.810016,66.432030,66.432030,71.914333,71.914333,79.073395,79.073395,131.143234,131.143234,131.143234,131.143234,64.810016,66.432030,71.914333,79.073395,131.143234,131.143234,4.203484
42,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.806878,64.806878,66.428892,66.428892,71.911195,71.911195,79.070257,79.070257,132.664998,132.664998,132.664998,132.664998,64.806878,66.428892,71.911195,79.070257,132.664998,132.664998,4.203591
43,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.803672,64.803672,66.425685,66.425685,71.907989,71.907989,79.067050,79.067050,134.186694,134.186694,134.186694,134.186694,64.803672,66.425685,71.907989,79.067050,134.186694,134.186694,4.203700
44,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.800397,64.800397,66.422411,66.422411,71.904714,71.904714,79.063776,79.063776,135.708322,135.708322,135.708322,135.708322,64.800397,66.422411,71.904714,79.063776,135.708322,135.708322,4.203812
45,0,1,0,67.500000,0.000000,0.070833,0.000000,61.000000,64.797055,64.797055,66.419069,66.419069,71.901372,71.901372,79.060434,79.060434,137.229882,137.229882,137.229882,137.229882,64.797055,66.419069,71.901372,79.060434,137.229882,137.229882,4.203926
46,1,0,0,67.500000,0.005863,0.035931,0.000000,61.000000,65.107664,65.107664,66.721439,66.721439,72.168096,72.168096,79.228388,79.228388,138.000000,138.000000,138.000000,138.000000,65.107664,66.721439,72.168096,79.228388,138.000000,138.000000,4.204043
47,1,0,0,67.500000,0.011919,0.000000,0.000000,61.000000,65.739220,65.739220,67.336360,67.336360,72.711402,72.711402,79.576759,79.576759,137.996531,137.996531,137.996531,137.996531,65.739220,67.336360,72.711402,79.576759,137.996531,137.996531,4.193592
48,1,0,0,67.500000,0.011958,0.000000,0.000000,61.000000,66.366274,66.366274,67.946952,67.946952,73.251803,73.251803,79.932873,79.932873,137.993014,137.993014,137.993014,137.993014,66.366274,67.946952,73.251803,79.932873,137.993014,137.993014,4.172362
49,1,0,0,67.500000,0.011998,0.000000,0.000000,61.000000,66.989089,66.989089,68.553470,68.553470,73.789478,73.789478,80.296046,80.296046,137.989450,137.989450,137.989450,137.989450,66.989089,68.553470,73.789478,80.296046,137.989450,137.989450,4.151314
50,1,0,0,67.500000,0.012037,0.000000,0.000000,61.000000,67.607907,67.607907,69.156148,69.156148,74.324590,74.324590,80.665655,80.665655,137.985837,137.985837,137.985837,137.985837,67.607907,69.156148,74.324590,80.665655,137.985837,137.985837,4.130440
