minute_of_year,compressorStatus ,upperElementStatus ,lowerElementStatus,Ta,inputCompKWH,inputResKWH,draw,inletT,T[0],T[1],T[2],T[3],T[4],T[5],T[6],T[7],T[8],T[9],T[10],T[11],simTCouples0,simTCouples1,simTCouples2,simTCouples3,simTCouples4,simTCouples5,COP
1,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,111.464144,111.464144,120.685196,120.685196,122.990460,122.990460,122.990460,122.990460,122.990460,122.990460,122.990460,122.990460,111.464144,120.685196,122.990460,122.990460,122.990460,122.990460,2.212883
2,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,102.995702,102.995702,115.742197,115.742197,122.544445,122.544445,122.981231,122.981231,122.981231,122.981231,122.981231,122.981231,102.995702,115.742197,122.544445,122.981231,122.981231,122.981231,2.382471
3,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,96.340939,96.340939,109.922713,109.922713,121.246682,121.246682,122.889556,122.889556,122.972315,122.972315,122.972315,122.972315,96.340939,109.922713,121.246682,122.889556,122.972315,122.972315,2.540014
4,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,90.850075,90.850075,104.042591,104.042591,119.092484,119.092484,122.569671,122.569671,122.948031,122.948031,122.963712,122.963712,90.850075,104.042591,119.092484,122.569671,122.948031,122.963712,2.683461
5,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,86.173919,86.173919,98.462516,98.462516,116.232634,116.232634,121.902544,121.902544,122.868050,122.868050,122.952449,122.952449,86.173919,98.462516,116.232634,121.902544,122.868050,122.952449,2.812712
6,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,82.114306,82.114306,93.323798,93.323798,112.857685,112.857685,120.820266,120.820266,122.677133,122.677133,122.928478,122.928478,82.114306,93.323798,112.857685,120.820266,122.677133,122.928478,2.928525
7,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,78.550223,78.550223,88.663826,88.663826,109.148859,109.148859,119.303898,119.303898,122.317637,122.317637,122.873187,122.873187,78.550223,88.663826,109.148859,119.303898,122.317637,122.873187,3.031985
8,0,0,0,50.000000,0.000000,0.000000,1.800000,50.000000,75.401161,75.401161,84.472399,84.472399,105.260129,105.260129,117.372430,117.372430,121.739257,121.739257,122.760569,122.760569,75.401161,84.472399,105.260129,117.372430,121.739257,122.760569,3.124261
9,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,75.393806,75.393806,84.465044,84.465044,105.252773,105.252773,117.365075,117.365075,121.731902,121.731902,122.753214,122.753214,75.393806,84.465044,105.252773,117.365075,121.731902,122.753214,3.124446
10,0,0,0,50.000000,0.000000,0.000000,0.000000,50.000000,75.386452,75.386452,84.457690,84.457690,105.245419,105.245419,117.357720,117.357720,121.724548,121.724548,122.745860,122.745860,75.386452,84.457690,105.245419,117.357720,121.724548,122.745860,3.124631
