minutes,Ta,Tsetpoint,inletT,draw,DRstatus,h_src1In (Wh),h_src1Out (Wh),tcouple1 (C),tcouple2 (C),tcouple3 (C),tcouple4 (C),tcouple5 (C),tcouple6 (C),toutlet (C)
0,19.72,50,14.44,0,0,0,0,49.31,49.31,49.31,49.31,49.31,49.31,
1,19.60175,50,14.305556,1.33491,0,0,0,48.55,48.55,48.55,48.55,48.55,48.55,45.06
2,19.626889,50,14.305556,2.891385,0,0,0,46.99,46.99,46.99,46.99,46.99,46.99,43.57
3,19.654711,50,14.320372,3.012477,0,0,0,45.44,45.44,45.44,45.44,45.44,45.44,42.18
4,19.697139,50,14.319444,3.002325,0,0,0,43.97,43.97,43.97,43.97,43.97,43.97,40.87
5,19.696733,50,14.304628,3.01118,0,55.88,137.92,43.15,43.15,43.15,43.15,43.15,43.15,39.61
6,19.615339,50,14.338889,3.001022,0,54.77,132.75,42.35,42.35,42.35,42.35,42.35,42.35,38.91
7,19.51465,50,14.345372,3.00695,0,53.67,127.66,41.56,41.56,41.56,41.56,41.56,41.56,38.23
8,19.545811,50,14.325,3.006359,0,52.63,123.56,40.79,40.79,40.79,40.79,40.79,40.79,37.55
9,19.548222,50,14.304628,3.00179,0,51.61,119.46,40.04,40.04,40.04,40.04,40.04,40.04,36.9
10,19.563017,50,14.280556,1.803987,0,51.27,118.17,39.79,39.79,39.79,39.79,39.79,39.79,36.72
11,19.564083,50,12,0,0,51.96,120.93,40.29,40.29,40.29,40.29,40.29,40.29,
12,19.532139,50,14.44,0,0,52.65,123.58,40.81,40.81,40.81,40.81,40.81,40.81,
13,19.534672,50,14.44,0,0,53.37,126.54,41.34,41.34,41.34,41.34,41.34,41.34,
14,19.641839,50,14.44,0,0,54.14,130.25,41.88,41.88,41.88,41.88,41.88,41.88,
15,19.607039,50,14.44,0,0,54.89,133.21,42.44,42.44,42.44,42.44,42.44,42.44,
16,19.585361,50,14.44,0,0,55.66,136.36,43,43,43,43,43,43,
17,19.546789,50,14.44,0,0,56.45,139.5,43.59,43.59,43.59,43.59,43.59,43.59,
18,19.54845,50,14.44,0,0,57.26,143.03,44.18,44.18,44.18,44.18,44.18,44.18,
19,19.54475,50,14.44,0,0,58.09,146.66,44.79,44.79,44.79,44.79,44.79,44.79,
20,19.536139,50,14.44,0,0,58.95,150.39,45.42,45.42,45.42,45.42,45.42,45.42,
21,19.496172,50,14.44,0,0,59.81,154.03,46.06,46.06,46.06,46.06,46.06,46.06,
22,19.520333,50,14.44,0,0,60.72,158.29,46.72,46.72,46.72,46.72,46.72,46.72,
