default 20.138
time(min),temperature(C)
0, 20.500
1, 20.433
2, 20.233
3, 19.917
4, 19.750
5, 20.133
6, 20.533
7, 20.450
8, 20.150
9, 19.800
10, 19.883
11, 20.183
12, 20.317
13, 20.300
14, 20.050
15, 19.767
16, 20.117
17, 20.283
18, 20.317
19, 20.017
20, 19.750
21, 19.883
22, 20.300
23, 20.433
24, 20.217
25, 19.783
26, 19.700
27, 20.033
28, 20.250
29, 20.267
30, 20.167
31, 19.917
32, 20.100
33, 20.383
34, 20.217
35, 19.933
36, 19.733
37, 20.133
38, 20.267
39, 20.150
40, 19.967
41, 20.100
42, 20.250
43, 20.167
44, 19.867
45, 20.183
46, 20.167
47, 20.017
48, 20.000
49, 20.167
50, 20.100
51, 19.900
52, 19.883
53, 20.267
54, 20.150
55, 19.950
56, 20.100
57, 20.117
58, 20.050
59, 20.167
60, 20.150
61, 20.083
62, 20.183
63, 20.083
64, 20.033
65, 20.233
66, 20.083
67, 19.883
68, 20.133
69, 20.267
70, 20.033
71, 19.950
72, 20.217
73, 20.150
74, 20.067
75, 20.167
76, 20.050
77, 19.950
78, 20.233
79, 20.183
80, 20.150
81, 20.033
82, 20.067
83, 20.117
84, 20.150
85, 20.033
86, 20.083
87, 20.083
88, 19.933
89, 20.067
90, 20.133
91, 20.167
92, 20.100
93, 20.017
94, 20.050
95, 20.217
96, 20.150
97, 19.983
98, 20.117
99, 20.200
100, 20.000
101, 19.867
102, 20.133
103, 20.267
104, 20.100
105, 19.900
106, 20.300
107, 20.217
108, 20.067
109, 19.883
110, 20.217
111, 20.200
112, 19.983
113, 20.017
114, 20.300
115, 20.233
116, 20.017
117, 19.917
118, 20.267
119, 20.283
120, 19.967
121, 19.733
122, 20.133
123, 20.267
124, 20.183
125, 19.967
126, 19.933
127, 20.233
128, 20.100
129, 19.850
130, 19.967
131, 20.350
132, 20.167
133, 19.900
134, 20.067
135, 20.167
136, 20.183
137, 20.100
138, 19.917
139, 20.167
140, 20.217
141, 20.000
142, 20.117
143, 20.183
144, 20.067
145, 20.100
146, 19.983
147, 20.100
148, 20.183
149, 20.083
150, 20.000
151, 20.133
152, 20.233
153, 20.150
154, 19.967
155, 19.967
156, 20.167
157, 20.150
158, 20.117
159, 20.050
160, 20.033
161, 20.150
162, 20.317
163, 20.333
164, 20.033
165, 19.917
166, 20.217
167, 20.417
168, 20.267
169, 19.967
170, 19.883
171, 20.233
172, 20.400
173, 20.233
174, 19.933
175, 20.017
176, 20.333
177, 20.350
178, 20.050
179, 20.050
180, 20.333
181, 20.383
182, 20.083
183, 19.950
184, 20.233
185, 20.400
186, 20.433
187, 20.083
188, 19.800
189, 20.083
190, 20.350
191, 20.483
192, 20.217
193, 19.883
194, 20.050
195, 20.300
196, 20.433
197, 20.200
198, 19.867
199, 19.850
200, 20.250
201, 20.433
202, 20.317
203, 20.017
204, 19.817
205, 20.167
206, 20.417
207, 20.350
208, 20.050
209, 19.933
210, 20.300
211, 20.400
212, 20.217
213, 19.900
214, 19.817
215, 20.217
216, 20.433
217, 20.283
218, 19.967
219, 19.883
220, 20.300
221, 20.483
222, 20.267
223, 19.983
224, 19.883
225, 20.267
226, 20.450
227, 20.233
228, 19.900
229, 19.900
230, 20.333
231, 20.500
232, 20.250
233, 19.917
234, 19.750
235, 20.133
236, 20.433
237, 20.400
238, 20.033
239, 19.883
240, 20.200
241, 20.483
242, 20.350
243, 19.983
244, 19.833
245, 20.217
246, 20.400
247, 20.250
248, 19.867
249, 20.050
250, 20.367
251, 20.467
252, 20.200
253, 19.883
254, 19.900
255, 20.333
256, 20.450
257, 20.283
258, 19.917
259, 19.883
260, 20.217
261, 20.450
262, 20.233
263, 19.917
264, 19.783
265, 20.233
266, 20.450
267, 20.350
268, 19.983
269, 19.800
270, 20.150
271, 20.517
272, 20.350
273, 19.967
274, 19.867
275, 20.267
276, 20.433
277, 20.317
278, 19.950
279, 19.833
280, 20.267
281, 20.467
282, 20.400
283, 20.033
284, 19.750
285, 20.000
286, 20.383
287, 20.450
288, 20.117
289, 19.850
290, 20.000
291, 20.333
292, 20.433
293, 20.100
294, 19.900
295, 20.133
296, 20.467
297, 20.417
298, 20.150
299, 19.783
300, 19.817
301, 20.183
302, 20.400
303, 20.267
304, 19.933
305, 19.850
306, 20.217
307, 20.417
308, 20.283
309, 20.000
310, 19.900
311, 20.283
312, 20.433
313, 20.200
314, 19.867
315, 19.867
316, 20.267
317, 20.433
318, 20.300
319, 19.917
320, 19.750
321, 20.167
322, 20.417
323, 20.367
324, 20.083
325, 19.850
326, 20.200
327, 20.433
328, 20.317
329, 19.933
330, 19.833
331, 20.250
332, 20.467
333, 20.350
334, 19.950
335, 19.833
336, 20.167
337, 20.400
338, 20.333
339, 19.950
340, 19.850
341, 20.200
342, 20.383
343, 20.283
344, 20.000
345, 19.733
346, 20.200
347, 20.383
348, 20.367
349, 20.083
350, 19.817
351, 20.067
352, 20.383
353, 20.350
354, 20.067
355, 19.950
356, 20.333
357, 20.500
358, 20.183
359, 19.850
360, 19.983
361, 20.283
362, 20.450
363, 20.267
364, 19.950
365, 19.867
366, 20.283
367, 20.417
368, 20.283
369, 19.867
370, 19.867
371, 20.283
372, 20.483
373, 20.350
374, 19.950
375, 19.700
376, 19.983
377, 20.300
378, 20.400
379, 20.233
380, 19.917
381, 19.933
382, 20.267
383, 20.417
384, 20.217
385, 19.933
386, 19.917
387, 20.317
388, 20.383
389, 20.267
390, 19.933
391, 19.850
392, 20.250
393, 20.367
394, 20.117
395, 19.817
396, 19.867
397, 20.333
398, 20.450
399, 20.333
400, 20.017
401, 19.800
402, 20.067
403, 20.367
404, 20.350
405, 20.083
406, 19.850
407, 20.033
408, 20.333
409, 20.367
410, 20.067
411, 19.817
412, 20.183
413, 20.417
414, 20.350
415, 19.983
416, 19.933
417, 20.300
418, 20.450
419, 20.217
420, 19.883
421, 19.900
422, 20.267
423, 20.417
424, 20.267
425, 19.933
426, 19.817
427, 20.233
428, 20.417
429, 20.333
430, 19.933
431, 19.800
432, 20.100
433, 20.467
434, 20.400
435, 20.100
436, 19.783
437, 19.950
438, 20.250
439, 20.367
440, 20.100
441, 19.883
442, 20.133
443, 20.383
444, 20.300
445, 19.933
446, 19.900
447, 20.233
448, 20.383
449, 20.250
450, 19.933
451, 19.900
452, 20.283
453, 20.433
454, 20.300
455, 19.900
456, 19.950
457, 20.283
458, 20.433
459, 20.133
460, 19.867
461, 19.983
462, 20.333
463, 20.367
464, 20.117
465, 19.883
466, 20.067
467, 20.350
468, 20.383
469, 20.050
470, 19.850
471, 20.083
472, 20.467
473, 20.317
474, 20.100
475, 19.817
476, 20.233
477, 20.400
478, 20.283
479, 20.017
480, 19.900
481, 20.267
482, 20.467
483, 20.233
484, 19.900
485, 19.883
486, 20.317
487, 20.467
488, 20.300
489, 20.000
490, 19.767
491, 20.067
492, 20.450
493, 20.367
494, 20.067
495, 19.883
496, 20.150
497, 20.400
498, 20.300
499, 19.950
500, 19.833
501, 20.183
502, 20.400
503, 20.367
504, 20.033
505, 19.933
506, 20.267
507, 20.483
508, 20.283
509, 20.000
510, 19.867
511, 20.283
512, 20.383
513, 20.317
514, 19.967
515, 19.833
516, 20.183
517, 20.433
518, 20.250
519, 19.967
520, 19.900
521, 20.300
522, 20.450
523, 20.300
524, 19.950
525, 19.783
526, 20.150
527, 20.417
528, 20.300
529, 19.950
530, 19.817
531, 20.167
532, 20.433
533, 20.367
534, 20.050
535, 19.767
536, 20.050
537, 20.350
538, 20.350
539, 20.100
540, 19.783
541, 20.000
542, 20.350
543, 20.367
544, 20.083
545, 19.900
546, 20.183
547, 20.417
548, 20.300
549, 19.933
550, 19.817
551, 20.167
552, 20.417
553, 20.300
554, 20.050
555, 19.817
556, 20.083
557, 20.433
558, 20.400
559, 20.117
560, 19.800
561, 19.883
562, 20.267
563, 20.400
564, 20.183
565, 19.917
566, 19.967
567, 20.350
568, 20.450
569, 20.217
570, 19.850
571, 19.933
572, 20.333
573, 20.400
574, 20.217
575, 19.817
576, 19.867
577, 20.233
578, 20.450
579, 20.233
580, 19.933
581, 19.883
582, 20.217
583, 20.433
584, 20.267
585, 19.933
586, 19.800
587, 20.133
588, 20.467
589, 20.333
590, 20.033
591, 19.783
592, 20.000
593, 20.350
594, 20.400
595, 20.167
596, 19.800
597, 19.950
598, 20.317
599, 20.467
600, 20.283
601, 19.883
602, 19.750
603, 20.133
604, 20.400
605, 20.317
606, 20.017
607, 19.800
608, 20.133
609, 20.467
610, 20.417
611, 20.200
612, 19.850
613, 20.017
614, 20.350
615, 20.467
616, 20.250
617, 19.917
618, 19.783
619, 20.200
620, 20.417
621, 20.283
