default 20.555
time(min),temperature(C)
0, 15.000
1, 14.983
2, 15.083
3, 15.233
4, 15.317
5, 15.483
6, 15.617
7, 15.733
8, 15.850
9, 15.967
10, 16.117
11, 16.250
12, 16.367
13, 16.583
14, 16.883
15, 17.283
16, 17.733
17, 18.250
18, 18.850
19, 19.433
20, 20.050
21, 20.750
22, 21.350
23, 21.950
24, 22.650
25, 23.250
26, 23.750
27, 24.267
28, 24.850
29, 25.350
30, 25.817
31, 26.317
32, 26.783
33, 27.200
34, 27.650
35, 28.100
36, 28.517
37, 28.933
38, 29.350
39, 29.750
40, 30.183
41, 30.550
42, 29.750
43, 29.083
44, 28.633
45, 28.250
46, 27.967
47, 27.700
48, 27.450
49, 27.250
50, 27.083
51, 26.933
52, 26.783
53, 26.667
54, 26.533
55, 26.433
56, 26.333
57, 26.217
58, 26.133
59, 26.017
60, 25.933
61, 25.850
62, 25.767
63, 25.683
64, 25.600
65, 25.533
66, 25.433
67, 25.383
68, 25.300
69, 25.233
70, 25.183
71, 25.100
72, 25.017
73, 24.950
74, 24.900
75, 24.800
76, 24.750
77, 24.700
78, 24.633
79, 24.583
80, 24.500
81, 24.467
82, 24.400
83, 24.367
84, 24.367
85, 25.567
86, 26.117
87, 26.417
88, 25.967
89, 25.600
90, 25.383
91, 25.233
92, 25.067
93, 24.983
94, 24.900
95, 24.817
96, 24.783
97, 24.700
98, 24.683
99, 24.600
100, 24.600
101, 24.567
102, 24.500
103, 24.500
104, 24.500
105, 24.500
106, 24.433
107, 24.433
108, 24.400
109, 24.400
110, 24.400
111, 24.400
112, 24.400
113, 24.400
114, 24.400
115, 24.400
116, 24.367
117, 24.300
118, 24.300
119, 24.300
120, 24.300
121, 24.300
122, 24.300
123, 24.300
124, 24.300
125, 24.267
126, 24.217
127, 24.217
128, 24.200
129, 24.200
130, 24.200
131, 24.200
132, 24.200
133, 24.200
134, 24.200
135, 24.200
136, 24.150
137, 24.117
138, 24.100
139, 24.100
140, 24.100
141, 24.100
142, 24.100
143, 24.100
144, 24.100
145, 24.100
146, 24.100
147, 24.100
148, 24.100
149, 24.100
150, 24.100
151, 24.100
152, 24.100
153, 24.100
154, 24.100
155, 24.683
156, 25.850
157, 26.333
158, 26.117
159, 25.750
160, 25.550
161, 25.400
162, 25.300
163, 25.217
164, 25.200
165, 25.200
166, 25.200
167, 25.200
168, 25.167
169, 25.183
170, 25.133
171, 25.150
172, 25.200
173, 25.200
174, 25.200
175, 25.200
176, 25.200
177, 25.200
178, 25.200
179, 25.200
180, 25.200
181, 25.200
182, 25.200
183, 25.200
184, 25.200
185, 25.200
186, 25.200
187, 25.200
188, 25.200
189, 25.200
190, 25.200
191, 25.200
192, 25.200
193, 25.200
194, 25.200
195, 25.200
196, 25.167
197, 25.133
198, 25.117
199, 25.150
200, 25.100
201, 25.100
202, 25.100
203, 25.100
204, 25.100
205, 25.100
206, 25.100
207, 25.100
208, 25.100
209, 25.100
210, 25.100
211, 25.100
212, 25.100
213, 25.100
214, 25.100
215, 25.100
216, 25.067
217, 25.067
218, 25.083
219, 25.050
220, 25.083
221, 25.067
222, 25.000
223, 25.017
224, 25.083
225, 25.083
226, 25.100
227, 25.100
228, 25.100
229, 25.100
230, 25.100
231, 25.100
232, 25.100
233, 25.100
234, 25.100
235, 25.100
236, 25.100
237, 25.100
238, 25.100
239, 25.100
240, 25.100
241, 25.100
242, 25.117
243, 25.133
244, 25.100
245, 25.100
246, 25.200
247, 25.200
248, 25.200
249, 25.200
250, 25.200
251, 25.200
252, 25.200
253, 25.200
254, 25.200
255, 25.200
256, 25.717
257, 25.800
258, 25.333
259, 24.933
260, 24.650
261, 24.417
262, 24.233
263, 24.067
264, 23.900
265, 23.767
266, 23.650
267, 23.533
268, 23.417
269, 23.317
270, 23.233
271, 23.133
272, 23.067
273, 23.000
274, 22.917
