Time(min),AmbientT(C),PowerIn(W),TankT1(C),TankT2(C),TankT3(C),TankT4(C),TankT5(C),TankT6(C),InletT(C),OutletT(C),FlowRate(gal/min)
0,20.6,1.8,18.3,18.2,18.9,23.7,26.7,33.8,,,
1,20.2,22.25,18.3,18.3,18.5,23.2,26.4,34.0,,,
2,19.7,19.666666666666668,18.3,18.2,18.6,23.6,26.5,34.0,,,
3,19.9,71.75,18.3,18.3,18.5,23.5,26.6,34.1,,,
4,20.2,251.96666666666667,18.3,18.3,18.6,23.6,26.5,34.0,,,
5,20.3,4347.266666666666,18.3,18.3,18.8,23.5,29.7,34.1,,,
6,20.2,4347.650000000001,18.3,18.3,19.1,23.3,30.9,34.4,,,
7,19.9,4353.083333333333,18.3,18.3,19.3,23.5,31.9,33.0,,,
8,20.0,4359.150000000001,18.3,18.3,19.5,23.3,32.5,33.6,,,
9,20.2,4378.25,18.3,18.4,19.9,23.4,33.2,34.5,,,
10,20.2,4385.516666666667,18.3,18.4,20.2,23.4,34.1,35.3,,,
11,19.9,4389.866666666666,18.3,18.5,20.6,23.4,34.8,36.1,,,
12,19.9,4387.95,18.3,18.6,20.9,23.3,35.6,36.6,,,
13,20.1,4393.133333333333,18.3,18.6,21.4,23.4,36.7,37.1,,,
14,20.1,4394.316666666667,18.3,18.8,21.8,23.5,37.5,37.5,,,
15,20.0,4395.533333333333,18.3,18.8,22.1,23.5,37.8,38.2,,,
16,19.9,4393.650000000001,18.4,19.0,22.4,23.7,38.3,39.2,,,
17,20.1,4394.216666666667,18.4,19.1,22.6,23.7,39.1,39.6,,,
18,20.3,4400.3,18.4,19.2,22.8,23.9,39.5,40.0,,,
19,20.1,4378.533333333333,18.4,19.4,22.9,24.0,41.9,40.8,,,
20,19.9,4373.650000000001,18.5,19.5,23.1,24.2,41.4,41.3,,,
21,20.1,4363.65,18.5,19.6,23.2,24.3,42.1,42.4,,,
22,20.3,4332.783333333334,18.6,19.7,23.4,24.4,41.8,42.5,,,
23,20.1,4339.516666666666,18.6,19.9,23.6,24.6,42.4,42.9,,,
24,19.9,4339.866666666666,18.6,20.0,23.7,24.7,43.1,43.9,,,
25,20.0,4344.316666666667,18.7,20.2,23.9,24.9,43.7,44.6,,,
26,20.2,4345.633333333333,18.8,20.3,24.1,25.0,44.3,45.1,,,
27,20.2,4346.483333333334,18.8,20.5,24.2,25.1,44.7,45.5,,,
28,19.9,4345.85,18.9,20.7,24.4,25.3,46.5,46.0,,,
29,20.0,4345.183333333333,18.9,20.8,24.5,25.4,46.0,46.4,,,
30,20.2,4347.349999999999,19.0,21.0,24.6,25.6,47.1,47.1,,,
31,20.3,4343.45,19.1,21.2,24.8,25.7,47.1,48.3,,,
32,20.0,4346.816666666667,19.2,21.3,25.0,25.9,48.2,48.3,,,
33,19.9,4354.766666666667,19.2,21.5,25.1,26.0,48.6,49.2,,,
34,20.1,4358.166666666667,19.3,21.7,25.3,26.2,49.1,49.1,,,
35,20.2,4360.9,19.4,21.9,25.4,26.3,49.6,50.2,,,
36,20.3,4370.416666666667,19.5,22.1,25.5,26.4,50.9,50.8,,,
37,20.0,4368.816666666667,19.5,22.2,25.7,26.6,51.9,51.1,,,
38,19.9,4366.15,19.7,22.4,25.8,26.7,51.5,51.9,,,
39,20.1,4364.016666666667,19.7,22.6,26.0,26.9,52.2,52.7,,,
40,20.3,4358.966666666666,19.8,22.8,26.1,27.0,52.5,53.0,,,
41,20.1,3005.9,20.0,22.9,26.3,27.2,53.1,53.4,,,
42,19.8,297.86666666666673,20.1,23.1,26.4,27.4,53.0,53.2,,,
43,20.0,298.6333333333334,20.1,23.3,26.6,27.5,52.9,52.9,,,
44,20.2,299.1166666666666,20.3,23.4,26.7,27.6,52.9,53.0,,,
45,20.3,299.65000000000003,20.3,23.6,26.9,27.8,53.1,52.8,,,
46,20.0,300.25,20.5,23.8,27.0,27.9,53.0,53.1,,,
47,19.8,300.90000000000003,20.6,23.9,27.1,28.0,52.9,52.8,,,
48,20.1,301.43333333333334,20.7,24.1,27.3,28.2,53.0,52.8,,,
49,20.2,302.18333333333334,20.8,24.2,27.4,28.3,52.9,52.6,,,
50,20.3,302.53333333333336,20.9,24.4,27.6,28.5,52.9,52.7,,,
51,20.0,303.1000000000001,21.0,24.6,27.7,28.6,53.0,52.6,,,
52,19.9,303.81666666666666,21.1,24.7,27.9,28.8,52.9,52.9,,,
53,20.1,304.5333333333333,21.3,24.8,28.0,28.9,52.9,53.1,,,
54,20.1,304.75,21.4,25.0,28.2,29.0,52.9,52.9,,,
55,20.1,305.31666666666666,21.5,25.2,28.3,29.2,53.0,52.9,,,
56,19.9,306.3,21.6,25.3,28.5,29.3,53.0,52.8,,,
57,20.0,307.18333333333334,21.8,25.5,28.6,29.5,53.0,52.8,,,
58,20.1,307.45,21.9,25.6,28.7,29.6,53.0,52.6,,,
59,20.1,307.5,22.0,25.8,28.9,29.8,53.0,52.6,,,
