"minutes","test","model","flow","inputPower","outputPower","tcouples1","tcouples2","tcouples3","tcouples4","tcouples5","tcouples6","aveTankTemp","type"
0,"DOE_24hr0","Sanden80",0,0,0,148.99046,148.99046,148.99046,148.99046,148.99046,148.99046,148.99046,"Simulated"
1,"DOE_24hr0","Sanden80",2.35,0,0,133.54736,148.98128,148.98128,148.98128,148.98128,148.98128,146.40896,"Simulated"
2,"DOE_24hr0","Sanden80",3,0,0,113.83754,148.9721,148.9721,148.9721,148.9721,148.9721,143.11634,"Simulated"
3,"DOE_24hr0","Sanden80",3,0,0,94.12988,148.96328,148.96328,148.96328,148.96328,148.96328,139.82438,"Simulated"
4,"DOE_24hr0","Sanden80",2.35,0,0,78.692,148.95464,148.95464,148.95464,148.95464,148.95464,137.2442,"Simulated"
5,"DOE_24hr0","Sanden80",0,0,0,78.68336,148.94582,148.94582,148.94582,148.94582,148.94582,137.23541,"Simulated"
6,"DOE_24hr0","Sanden80",0,0,0,78.67454,148.93718,148.93718,148.93718,148.93718,148.93718,137.22674,"Simulated"
7,"DOE_24hr0","Sanden80",0,0,0,78.6659,148.92854,148.92854,148.92854,148.92854,148.92854,137.2181,"Simulated"
8,"DOE_24hr0","Sanden80",0,0,0,78.65726,148.91972,148.91972,148.91972,148.91972,148.91972,137.20931,"Simulated"
9,"DOE_24hr0","Sanden80",0,0,0,78.64844,148.91108,148.91108,148.91108,148.91108,148.91108,137.20064,"Simulated"
10,"DOE_24hr0","Sanden80",0,0,0,78.6398,148.90244,148.90244,148.90244,148.90244,148.90244,137.192,"Simulated"
11,"DOE_24hr0","Sanden80",0,0,0,78.63116,148.89362,148.89362,148.89362,148.89362,148.89362,137.18321,"Simulated"
12,"DOE_24hr0","Sanden80",0,0,0,78.62234,148.88498,148.88498,148.88498,148.88498,148.88498,137.17454,"Simulated"
13,"DOE_24hr0","Sanden80",0,0,0,78.6137,148.87634,148.87634,148.87634,148.87634,148.87634,137.1659,"Simulated"
14,"DOE_24hr0","Sanden80",0,0,0,78.60506,148.86752,148.86752,148.86752,148.86752,148.86752,137.15711,"Simulated"
15,"DOE_24hr0","Sanden80",0,0,0,78.59624,148.85888,148.85888,148.85888,148.85888,148.85888,137.14844,"Simulated"
16,"DOE_24hr0","Sanden80",0,0,0,78.5876,148.85024,148.85024,148.85024,148.85024,148.85024,137.1398,"Simulated"
17,"DOE_24hr0","Sanden80",0,0,0,78.57896,148.84142,148.84142,148.84142,148.84142,148.84142,137.13101,"Simulated"
18,"DOE_24hr0","Sanden80",0,0,0,78.57014,148.83278,148.83278,148.83278,148.83278,148.83278,137.12234,"Simulated"
19,"DOE_24hr0","Sanden80",0,0,0,78.5615,148.82414,148.82414,148.82414,148.82414,148.82414,137.1137,"Simulated"
20,"DOE_24hr0","Sanden80",0,0,0,78.55286,148.81532,148.81532,148.81532,148.81532,148.81532,137.10491,"Simulated"
21,"DOE_24hr0","Sanden80",0,0,0,78.54404,148.80668,148.80668,148.80668,148.80668,148.80668,137.09624,"Simulated"
22,"DOE_24hr0","Sanden80",0,0,0,78.5354,148.79804,148.79804,148.79804,148.79804,148.79804,137.0876,"Simulated"
23,"DOE_24hr0","Sanden80",0,0,0,78.52676,148.78922,148.78922,148.78922,148.78922,148.78922,137.07881,"Simulated"
24,"DOE_24hr0","Sanden80",0,0,0,78.51794,148.78058,148.78058,148.78058,148.78058,148.78058,137.07014,"Simulated"
25,"DOE_24hr0","Sanden80",0,0,0,78.5093,148.77194,148.77194,148.77194,148.77194,148.77194,137.0615,"Simulated"
26,"DOE_24hr0","Sanden80",0,0,0,78.50066,148.7633,148.7633,148.7633,148.7633,148.7633,137.05286,"Simulated"
27,"DOE_24hr0","Sanden80",0,0,0,78.49202,148.75448,148.75448,148.75448,148.75448,148.75448,137.04407,"Simulated"
28,"DOE_24hr0","Sanden80",0,0,0,78.4832,148.74584,148.74584,148.74584,148.74584,148.74584,137.0354,"Simulated"
29,"DOE_24hr0","Sanden80",0,0,0,78.47456,148.7372,148.7372,148.7372,148.7372,148.7372,137.02676,"Simulated"
30,"DOE_24hr0","Sanden80",0,0,0,78.46592,148.72838,148.72838,148.72838,148.72838,148.72838,137.01797,"Simulated"
31,"DOE_24hr0","Sanden80",0,0,0,78.4571,148.71974,148.71974,148.71974,148.71974,148.71974,137.0093,"Simulated"
32,"DOE_24hr0","Sanden80",0,0,0,78.44846,148.7111,148.7111,148.7111,148.7111,148.7111,137.00066,"Simulated"
33,"DOE_24hr0","Sanden80",0,0,0,78.43982,148.70246,148.70246,148.70246,148.70246,148.70246,136.99202,"Simulated"
34,"DOE_24hr0","Sanden80",0,0,0,78.43118,148.69364,148.69364,148.69364,148.69364,148.69364,136.98323,"Simulated"
35,"DOE_24hr0","Sanden80",0,0,0,78.42236,148.685,148.685,148.685,148.685,148.685,136.97456,"Simulated"
36,"DOE_24hr0","Sanden80",0,0,0,78.41372,148.67636,148.67636,148.67636,148.67636,148.67636,136.96592,"Simulated"
37,"DOE_24hr0","Sanden80",0,0,0,78.40508,148.66754,148.66754,148.66754,148.66754,148.66754,136.95713,"Simulated"
38,"DOE_24hr0","Sanden80",0,0,0,78.39626,148.6589,148.6589,148.6589,148.6589,148.6589,136.94846,"Simulated"
39,"DOE_24hr0","Sanden80",0,0,0,78.38762,148.65026,148.65026,148.65026,148.65026,148.65026,136.93982,"Simulated"
40,"DOE_24hr0","Sanden80",0,0,0,78.37898,148.64162,148.64162,148.64162,148.64162,148.64162,136.93118,"Simulated"
41,"DOE_24hr0","Sanden80",0,0,0,78.37034,148.6328,148.6328,148.6328,148.6328,148.6328,136.92239,"Simulated"
42,"DOE_24hr0","Sanden80",0,0,0,78.36152,148.62416,148.62416,148.62416,148.62416,148.62416,136.91372,"Simulated"
43,"DOE_24hr0","Sanden80",0,0,0,78.35288,148.61552,148.61552,148.61552,148.61552,148.61552,136.90508,"Simulated"
44,"DOE_24hr0","Sanden80",0,0,0,78.34424,148.60688,148.60688,148.60688,148.60688,148.60688,136.89644,"Simulated"
45,"DOE_24hr0","Sanden80",0,0,0,78.3356,148.59806,148.59806,148.59806,148.59806,148.59806,136.88765,"Simulated"
46,"DOE_24hr0","Sanden80",0,0,0,78.32678,148.58942,148.58942,148.58942,148.58942,148.58942,136.87898,"Simulated"
47,"DOE_24hr0","Sanden80",0,0,0,78.31814,148.58078,148.58078,148.58078,148.58078,148.58078,136.87034,"Simulated"
48,"DOE_24hr0","Sanden80",0,0,0,78.3095,148.57214,148.57214,148.57214,148.57214,148.57214,136.8617,"Simulated"
49,"DOE_24hr0","Sanden80",0,0,0,78.30086,148.56332,148.56332,148.56332,148.56332,148.56332,136.85291,"Simulated"
50,"DOE_24hr0","Sanden80",0,0,0,78.29222,148.55468,148.55468,148.55468,148.55468,148.55468,136.84427,"Simulated"
51,"DOE_24hr0","Sanden80",0,0,0,78.2834,148.54604,148.54604,148.54604,148.54604,148.54604,136.8356,"Simulated"
52,"DOE_24hr0","Sanden80",0,0,0,78.27476,148.5374,148.5374,148.5374,148.5374,148.5374,136.82696,"Simulated"
53,"DOE_24hr0","Sanden80",0,0,0,78.26612,148.52876,148.52876,148.52876,148.52876,148.52876,136.81832,"Simulated"
54,"DOE_24hr0","Sanden80",0,0,0,78.25748,148.51994,148.51994,148.51994,148.51994,148.51994,136.80953,"Simulated"
55,"DOE_24hr0","Sanden80",0,0,0,78.24866,148.5113,148.5113,148.5113,148.5113,148.5113,136.80086,"Simulated"
56,"DOE_24hr0","Sanden80",0,0,0,78.24002,148.50266,148.50266,148.50266,148.50266,148.50266,136.79222,"Simulated"
57,"DOE_24hr0","Sanden80",0,0,0,78.23138,148.49402,148.49402,148.49402,148.49402,148.49402,136.78358,"Simulated"
